clientid,recency,frequency,monetaryvalue,avgtransactionvalue,recency_log,avg_transaction_log
00018c3f-5f99-4f68-a78a-016985759872,170,7,8821.68,1260.24,5.14166355650266,7.139850642994167
000a5e19-8ebf-4d40-924d-d209e2526223,67,12,9986.68,832.22,4.219507705176107,6.725297712939344
000b1f18-a74f-4e5f-9a94-d809ad51cc03,31,4,2416.13,604.03,3.4657359027997265,6.405278043578317
0037c351-6d1c-4390-87d9-95c7a92c87dd,21,7,7009.02,1001.29,3.091042453358316,6.910042660928271
005e3c87-0c61-4077-8550-25ce1a71de7e,39,11,6371.56,579.23,3.6888794541139363,6.3634245766587485
0094cb0b-157b-48d7-a4a1-7192bbaa421f,158,8,6330.0,791.25,5.0689042022202315,6.67487699857103
00a47e0c-3a63-4eaf-9f9d-1f34cde948df,297,4,4390.1,1097.53,5.697093486505405,7.001728201419893
00e004c1-e72c-4e4b-982d-705c057da15a,48,3,3139.6,1046.53,3.8918202981106265,6.954190291004325
00eb75a0-1a39-4ffb-875a-941f627cf3f6,103,13,9737.16,749.01,4.6443908991413725,6.620086539774801
00f70dab-1b49-4960-a209-cc15896fb428,124,6,6131.58,1021.93,4.8283137373023015,6.930426337412989
00fb78a2-1942-4aaf-9485-d89e9df20176,243,3,1487.03,495.68,5.497168225293202,6.207945955548642
0105497f-2226-438a-afc7-73772b2b28e4,440,2,612.04,306.02,6.089044875446846,5.726912892045055
0139a00e-9db2-4aed-90ca-86af65625c53,150,1,788.74,788.74,5.017279836814924,6.671703777367143
01839e56-cd7f-435b-bf16-559939a5c349,1,4,1691.28,422.82,0.6931471805599453,6.04930883679242
0192679b-d9e5-4655-a528-399fe521ebaa,73,10,7034.98,703.5,4.304065093204169,6.557488331338735
01c52ac2-2f4e-4b29-991c-63c6596a19c0,99,10,7371.86,737.19,4.605170185988092,6.604201244039771
01de9060-7085-4374-a6d1-b9e8b85e2344,92,7,4549.63,649.95,4.532599493153256,6.4784328343434066
01f975d7-f719-483a-b806-2a9c83341348,27,5,5660.73,1132.15,3.332204510175204,7.032756644144939
0224b164-ba43-40a9-bb0d-8aff8c135ca8,599,1,459.39,459.39,6.396929655216146,6.132073956368573
0263bcad-26ce-4e39-8756-76a6d12bd760,315,1,1366.05,1366.05,5.755742213586912,7.220410412499818
02733f87-9ab9-4603-a5b3-b08e7fe6b82d,235,2,753.13,376.56,5.4638318050256105,5.933729496456744
029ab24d-ce77-4ea2-8321-f307d5c6fe3c,237,7,7036.61,1005.23,5.472270673671475,6.91396595275885
029cf948-8686-4197-add3-9623687cf2d8,139,1,703.02,703.02,4.941642422609304,6.556806764845421
02b4549a-72bb-4677-8a7e-18757ad11530,40,2,1263.04,631.52,3.713572066704308,6.449711840655116
03317eb1-66fa-4bb2-a9e5-68057f31e17d,78,7,6103.01,871.86,4.3694478524670215,6.771775176427393
036304fc-d007-4255-adf4-786188e56c44,123,4,3215.15,803.79,4.820281565605037,6.6905813738209625
036caeb2-2f89-4091-9287-af3c5cf6214e,376,2,1154.24,577.12,5.932245187448011,6.359781459580641
03768312-d326-4577-a0dd-0774dad6b718,192,3,3077.25,1025.75,5.262690188904886,6.934153752836668
03940843-01ce-4cac-a7f7-f56909fbe7e8,3,7,3655.04,522.15,1.3862943611198906,6.259868229827056
03a144b1-0af9-438d-9b88-72ff77ae257b,42,12,8634.14,719.51,3.7612001156935624,6.579959294593781
03f4141d-22ec-42c1-9d10-b36d1cef75b2,47,13,8455.85,650.45,3.8712010109078907,6.47920064764894
040a29e6-a48d-487c-b872-b89da9c5d6e9,267,1,334.71,334.71,5.5909869805108565,5.816247692043959
041db95d-9b43-4c8b-babc-da9fba35712e,338,10,6830.54,683.05,5.82600010738045,6.528031014366123
044b04c8-41dd-4db9-974e-2646a8fc096d,66,3,1995.12,665.04,4.204692619390966,6.5013497287969155
