clientid,recency,frequency,monetaryvalue,avgtransactionvalue
00018c3f-5f99-4f68-a78a-016985759872,170,7,8821.68,1260.24
000a5e19-8ebf-4d40-924d-d209e2526223,67,12,9986.68,832.22
000b1f18-a74f-4e5f-9a94-d809ad51cc03,31,4,2416.13,604.03
0037c351-6d1c-4390-87d9-95c7a92c87dd,21,7,7009.02,1001.29
005e3c87-0c61-4077-8550-25ce1a71de7e,39,11,6371.5599999999995,579.23
0094cb0b-157b-48d7-a4a1-7192bbaa421f,158,8,6330.0,791.25
00a47e0c-3a63-4eaf-9f9d-1f34cde948df,297,4,4390.1,1097.53
00e004c1-e72c-4e4b-982d-705c057da15a,48,3,3139.6,1046.53
00eb75a0-1a39-4ffb-875a-941f627cf3f6,103,13,9737.16,749.01
00f70dab-1b49-4960-a209-cc15896fb428,124,6,6131.58,1021.93
00fb78a2-1942-4aaf-9485-d89e9df20176,243,3,1487.03,495.68
0105497f-2226-438a-afc7-73772b2b28e4,440,2,612.04,306.02
0139a00e-9db2-4aed-90ca-86af65625c53,150,1,788.74,788.74
01839e56-cd7f-435b-bf16-559939a5c349,1,4,1691.28,422.82
0192679b-d9e5-4655-a528-399fe521ebaa,73,10,7034.98,703.5
01c52ac2-2f4e-4b29-991c-63c6596a19c0,99,10,7371.86,737.19
01de9060-7085-4374-a6d1-b9e8b85e2344,92,7,4549.63,649.95
01f975d7-f719-483a-b806-2a9c83341348,27,5,5660.73,1132.15
0224b164-ba43-40a9-bb0d-8aff8c135ca8,599,1,459.39,459.39
0263bcad-26ce-4e39-8756-76a6d12bd760,315,1,1366.05,1366.05
02733f87-9ab9-4603-a5b3-b08e7fe6b82d,235,2,753.13,376.56
029ab24d-ce77-4ea2-8321-f307d5c6fe3c,237,7,7036.61,1005.23
029cf948-8686-4197-add3-9623687cf2d8,139,1,703.02,703.02
02b4549a-72bb-4677-8a7e-18757ad11530,40,2,1263.04,631.52
03317eb1-66fa-4bb2-a9e5-68057f31e17d,78,7,6103.01,871.86
036304fc-d007-4255-adf4-786188e56c44,123,4,3215.15,803.79
036caeb2-2f89-4091-9287-af3c5cf6214e,376,2,1154.24,577.12
