clientid,recency,frequency,monetaryvalue,avgtransactionvalue,recency_log,avg_transaction_log,cluster,PCA1,PCA2,cluster_label,future_revenue,predicted_clv
00018c3f-5f99-4f68-a78a-016985759872,170,7,8821.68,1260.24,5.14166355650266,7.139850642994167,1,0.5272589604129838,1.080278726269338,Loyal Customers,2851.4,4224.977047337667
000a5e19-8ebf-4d40-924d-d209e2526223,67,12,9986.68,832.22,4.219507705176107,6.725297712939344,4,1.9801291397314795,0.9445696468784376,Loyal High-Value Customers,2851.4,3684.5819333333343
000b1f18-a74f-4e5f-9a94-d809ad51cc03,31,4,2416.13,604.03,3.4657359027997265,6.405278043578317,2,-0.6785106423113187,-1.0692422806469757,"Moderate Spend, Low Frequency",2851.4,3588.362003614719
0037c351-6d1c-4390-87d9-95c7a92c87dd,21,7,7009.02,1001.29,3.091042453358316,6.910042660928271,0,0.9010681878061728,-0.5803356191496035,Loyal High-Value Customers,4825.88,4514.717560952381
005e3c87-0c61-4077-8550-25ce1a71de7e,39,11,6371.56,579.23,3.688879454113936,6.3634245766587485,4,1.2748935603003244,0.0792960042820014,Loyal High-Value Customers,4825.88,5220.465053766235
0094cb0b-157b-48d7-a4a1-7192bbaa421f,158,8,6330.0,791.25,5.068904202220232,6.67487699857103,1,0.237928408126065,0.8218586530356231,Loyal Customers,4825.88,5195.751090714287
00a47e0c-3a63-4eaf-9f9d-1f34cde948df,297,4,4390.1,1097.53,5.697093486505405,7.001728201419893,3,-1.0849599063622872,0.737910600779017,New Customers,4825.88,5308.5742447619095
00e004c1-e72c-4e4b-982d-705c057da15a,48,3,3139.6,1046.53,3.8918202981106265,6.954190291004325,2,-0.8659139595850063,-0.7617621591333799,"Moderate Spend, Low Frequency",3872.7266666666665,4397.661515238097
00eb75a0-1a39-4ffb-875a-941f627cf3f6,103,13,9737.16,749.01,4.6443908991413725,6.620086539774801,4,1.9572609492853024,1.2945046835712068,Loyal High-Value Customers,3872.7266666666665,4617.345488376627
00f70dab-1b49-4960-a209-cc15896fb428,124,6,6131.58,1021.93,4.8283137373023015,6.930426337412989,1,-0.0723253523659939,0.4744759468052904,Loyal Customers,3872.7266666666665,4080.3817638095247
00fb78a2-1942-4aaf-9485-d89e9df20176,243,3,1487.03,495.68,5.497168225293202,6.207945955548642,3,-1.7672977263420315,0.1882689758079313,New Customers,3872.7266666666665,4389.850501190476
0105497f-2226-438a-afc7-73772b2b28e4,440,2,612.04,306.02,6.089044875446846,5.726912892045055,3,-2.33075497481233,0.4311740313731638,New Customers,3872.7266666666665,4433.486948419916
0139a00e-9db2-4aed-90ca-86af65625c53,150,1,788.74,788.74,5.017279836814924,6.671703777367143,3,-2.0910739159740874,-0.3857546751386332,New Customers,3872.7266666666665,4218.596130346321
01839e56-cd7f-435b-bf16-559939a5c349,1,4,1691.28,422.82,0.6931471805599453,6.04930883679242,0,0.1689696605452618,-3.1178448452075425,Loyal High-Value Customers,3872.7266666666665,3824.1857092857144
0192679b-d9e5-4655-a528-399fe521ebaa,73,10,7034.98,703.5,4.304065093204169,6.557488331338735,1,1.0079902689910172,0.5140231709418762,Loyal Customers,3872.7266666666665,4272.072862489179
01c52ac2-2f4e-4b29-991c-63c6596a19c0,99,10,7371.86,737.19,4.605170185988092,6.604201244039771,1,0.9671163277173244,0.7659189618138991,Loyal Customers,3872.7266666666665,4351.317534372298
01de9060-7085-4374-a6d1-b9e8b85e2344,92,7,4549.63,649.95,4.532599493153256,6.478432834343407,1,-0.1016621394538146,0.1616203206361056,Loyal Customers,5240.863636363636,5003.430669610395
01f975d7-f719-483a-b806-2a9c83341348,27,5,5660.73,1132.15,3.332204510175204,7.032756644144939,2,0.1907151883049039,-0.7171351880446648,"Moderate Spend, Low Frequency",5240.863636363636,4825.112091515156
0224b164-ba43-40a9-bb0d-8aff8c135ca8,599,1,459.39,459.39,6.396929655216146,6.132073956368573,3,-2.64953669014033,0.5550108028146747,New Customers,5240.863636363636,5508.156318073593
0263bcad-26ce-4e39-8756-76a6d12bd760,315,1,1366.05,1366.05,5.755742213586912,7.220410412499818,3,-2.2406433735090063,0.2036617241924112,New Customers,5240.863636363636,5352.436491515155
02733f87-9ab9-4603-a5b3-b08e7fe6b82d,235,2,753.13,376.56,5.4638318050256105,5.933729496456744,3,-2.079294890382413,0.0039193861049408,New Customers,5240.863636363636,5469.733095108231
029ab24d-ce77-4ea2-8321-f307d5c6fe3c,237,7,7036.61,1005.23,5.472270673671475,6.91396595275885,1,0.0553048350046086,1.1113086545240596,Loyal Customers,5240.863636363636,5263.210207727276
029cf948-8686-4197-add3-9623687cf2d8,139,1,703.02,703.02,4.941642422609304,6.556806764845421,3,-2.08102360567592,-0.4491556210009036,New Customers,5240.863636363636,5143.03557075758
02b4549a-72bb-4677-8a7e-18757ad11530,40,2,1263.04,631.52,3.713572066704308,6.449711840655116,2,-1.3525641963107773,-1.1790672738714898,"Moderate Spend, Low Frequency",5240.863636363636,5394.58044701299
03317eb1-66fa-4bb2-a9e5-68057f31e17d,78,7,6103.01,871.86,4.3694478524670215,6.771775176427393,1,0.2645137571167628,0.2229311781660789,Loyal Customers,5240.863636363636,5340.955173463208
036304fc-d007-4255-adf4-786188e56c44,123,4,3215.15,803.79,4.820281565605037,6.6905813738209625,3,-1.0043757995254867,-0.017705844870957,New Customers,5240.863636363636,5301.692276666664
036caeb2-2f89-4091-9287-af3c5cf6214e,376,2,1154.24,577.12,5.932245187448011,6.359781459580641,3,-2.1672481996666617,0.3817701713270356,New Customers,5240.863636363636,5099.345650779223
03768312-d326-4577-a0dd-0774dad6b718,192,3,3077.25,1025.75,5.262690188904886,6.934153752836668,3,-1.3683233236011183,0.2032008671377971,New Customers,5240.863636363636,5714.551864913427
03940843-01ce-4cac-a7f7-f56909fbe7e8,3,7,3655.04,522.15,1.3862943611198906,6.259868229827056,0,0.8457731538325687,-2.171321101936727,Loyal High-Value Customers,7601.053333333333,6919.593763831175
03a144b1-0af9-438d-9b88-72ff77ae257b,42,12,8634.14,719.51,3.7612001156935615,6.579959294593781,4,1.8759128414028692,0.4654741556546671,Loyal High-Value Customers,7601.053333333333,5724.593895909089
03f4141d-22ec-42c1-9d10-b36d1cef75b2,47,13,8455.85,650.45,3.87120101090789,6.47920064764894,4,1.979723978524183,0.6002462051880884,Loyal High-Value Customers,7601.053333333333,6716.790306060609
040a29e6-a48d-487c-b872-b89da9c5d6e9,267,1,334.71,334.71,5.5909869805108565,5.816247692043959,3,-2.386141199241524,-0.0306801876026029,New Customers,7601.053333333333,6771.657363982688
041db95d-9b43-4c8b-babc-da9fba35712e,338,10,6830.54,683.05,5.82600010738045,6.528031014366123,1,0.423419005153791,1.5699142427814412,Loyal Customers,7601.053333333333,6615.725610952388
044b04c8-41dd-4db9-974e-2646a8fc096d,66,3,1995.12,665.04,4.204692619390966,6.501349728796916,2,-1.2045744262681135,-0.6703157949079805,"Moderate Spend, Low Frequency",7601.053333333333,7185.003414415591
04507997-5968-4525-bd22-fc3a7a78d1db,4,7,3731.65,533.09,1.6094379124341005,6.280564364084881,0,0.7811875394773669,-2.004363351442256,Loyal High-Value Customers,7601.053333333333,7118.616044790214
046eaadb-ca28-401e-8a7c-e8a5edb613f3,58,3,4458.07,1486.02,4.07753744390572,7.304529396268832,2,-0.6710052896262975,-0.4798394037455593,"Moderate Spend, Low Frequency",7601.053333333333,7515.199873701304
04801009-ecad-43fe-a85d-6b3963ada739,77,10,6045.01,604.5,4.356708826689592,6.406054562993147,1,0.7929764175439614,0.4385501745630517,Loyal Customers,7601.053333333333,6941.057647142863
048b5a86-42b1-4d4c-ac73-eac12660ca71,297,1,260.04,260.04,5.697093486505405,5.564673652285065,3,-2.438870003710583,0.0360504041881771,New Customers,7601.053333333333,6373.1542986796585
04d1093f-b1e0-4e4f-b8ee-c30c16bcb0d9,140,6,3760.97,626.83,4.948759890378168,6.442269429185225,1,-0.5851959796301961,0.2897639406112405,Loyal Customers,7601.053333333333,6805.103212619051
050950c5-c502-4713-86c9-f51953066997,93,9,6252.03,694.67,4.543294782270004,6.544875409964454,1,0.5888364804718434,0.5173579611705396,Loyal Customers,8104.455,7413.516071103892
0516ee71-aebe-47b0-8e05-5860b20cfc91,331,1,1989.8,1989.8,5.805134968916488,7.596291846984399,3,-2.134683580712609,0.3097586739611386,New Customers,8104.455,7195.542378787871
052175a2-e7bd-4bee-8158-41776aa5ae11,7,12,7339.88,611.66,2.079441541679836,6.417810132795502,0,2.2206006270981016,-0.8745151292270041,Loyal High-Value Customers,8104.455,6823.61625380952
052a5dbb-8db8-49cf-80a9-97ef6e5d17cf,21,10,7275.53,727.55,3.091042453358316,6.591056257459863,0,1.4892892466107126,-0.3187072695890029,Loyal High-Value Customers,8104.455,6980.638683787875
053021b8-df8b-4eef-bc18-e5e78402f1a1,127,6,4873.48,812.25,4.852030263919617,6.7010385653534605,1,-0.3301371763516455,0.34793896498352,Loyal Customers,6354.445714285714,5216.711547142861
0551a9cc-46f6-406b-a572-f1f033670aec,24,11,12158.65,1105.33,3.218875824868201,7.008803510091616,4,2.589809957500776,0.4054314700466809,Loyal High-Value Customers,6354.445714285714,5075.3753341341935
05556c3f-ee89-463a-8c10-4d3e165f3f47,18,6,5136.83,856.14,2.9444389791664403,6.753601265815989,0,0.4039717781722787,-0.9747038746812312,Loyal High-Value Customers,6354.445714285714,6155.17202904762
05633b45-c77e-4da6-985d-990da9e0ef14,368,2,711.6600000000001,355.83,5.910796644040527,5.8772594778887575,3,-2.247292596745127,0.3161315278592287,New Customers,6354.445714285714,5823.606928095238
05b3ab30-554a-4d9d-9199-9383b3afa038,1,13,7964.04,612.62,0.6931471805599453,6.419375844045977,0,3.018332715678929,-1.709313110933134,Loyal High-Value Customers,6354.445714285714,6001.170571904761
05c39379-0ae8-4eac-95a3-b77395d3649a,140,7,6705.85,957.98,4.948759890378168,6.865870219608617,1,0.1768962838375294,0.7024049836450706,Loyal Customers,6354.445714285714,6234.760161630034
05d87886-8ce8-432f-b35a-af4f5cc8ba49,534,1,581.38,581.38,6.282266746896006,6.3671231556334815,3,-2.584371171148708,0.4876048411929435,New Customers,6354.445714285714,5155.07523532467
05eb7f4b-146f-4e0c-a364-feed9c2f9cdf,54,7,4990.3,712.9,4.007333185232471,6.570742896508415,1,0.1734410005311475,-0.1606276518961522,Loyal Customers,6354.445714285714,6367.887270714286
0632c4e8-e17d-47cc-a5d2-47553678366f,11,7,6392.22,913.17,2.4849066497880004,6.818016549782741,0,0.9955078739237438,-1.0804205078780629,Loyal High-Value Customers,5642.88,5189.545326556776
06523735-f7bf-4ba4-8db8-35b1a4247a47,55,9,7344.72,816.08,4.02535169073515,6.705737009282876,1,0.990540877857461,0.2745971525750386,Loyal Customers,5642.88,5338.489528051949
06587aa3-88c0-4f6d-baa6-a27e2df9fcb9,8,9,6296.889999999999,699.65,2.19722457733622,6.552008475616226,0,1.4363900388952504,-1.1411008745326772,Loyal High-Value Customers,7111.866000000001,6749.044910909095
06613d47-9359-45e2-943c-70c6bccc934f,98,9,6610.38,734.49,4.59511985013459,6.600536943755997,1,0.6413290736649104,0.5949386563242414,Loyal Customers,7111.866000000001,6254.80286634199
067d6fa7-a89b-47de-abbe-3382b9fb7153,203,4,869.75,217.44,5.318119993844216,5.386511377283953,3,-1.6471588054059254,0.0680590617761816,New Customers,7111.866000000001,6902.30763214286
067e5abf-f019-4929-afd4-53e16c7cfcda,200,7,4390.9400000000005,627.28,5.303304908059076,6.442985926974831,1,-0.4086202177327148,0.6900364219384139,Loyal Customers,7111.866000000001,6415.16391631868
06b6c259-7a6f-468b-9b2f-bd15aa20674f,17,9,7948.95,883.22,2.8903717578961645,6.784705900453226,0,1.516016594030839,-0.4613546511883943,Loyal High-Value Customers,7111.866000000001,6409.324929855142
06bd7791-e8b4-41ce-9574-9a2c575d77fd,537,1,655.9,655.9,6.2878585601617845,6.487531799898427,3,-2.571601528515455,0.5000611037948323,New Customers,7111.866000000001,6463.185553160173
06ca9107-8ef7-42f9-aa6d-5a8b45f42998,9,5,5198.139999999999,1039.63,2.302585092994046,6.947581577962071,0,0.4671017388079171,-1.4999358127572344,Loyal High-Value Customers,7111.866000000001,6375.43135047619
06e4f8c0-e4f8-469e-878f-cba8e779de5c,61,4,2103.49,525.87,4.127134385045092,6.266953838794128,2,-0.9769043861013188,-0.6358762402499905,"Moderate Spend, Low Frequency",7111.866000000001,6584.5014070779225
071f0b7a-bf30-4109-9e7a-cdfe36708255,81,7,4931.6,704.51,4.406719247264253,6.55892094553685,1,0.0190368614696472,0.1158836757455721,Loyal Customers,7111.866000000001,6377.290686277056
073c9d1a-61d9-47d2-920b-2c0ed36924bf,50,11,7245.89,658.72,3.9318256327243257,6.491815502579952,4,1.3613233467399866,0.3511916931763024,Loyal High-Value Customers,7111.866000000001,6772.155646666669
075484c7-946b-4324-bec1-0ce8a34dda49,27,11,8839.03,803.55,3.332204510175204,6.690283114905159,4,1.891406222034916,0.1075376957543979,Loyal High-Value Customers,7111.866000000001,6136.685105
07697ff2-cdb9-4f18-95af-39788eb11d7d,66,8,8979.36,1122.42,4.204692619390966,7.024132883037598,4,1.0719205470152176,0.5109376057098952,Loyal High-Value Customers,7111.866000000001,6562.871435714288
076b9b95-5d16-421a-a334-e7226bc813f2,17,11,9391.11,853.74,2.8903717578961645,6.750797329123684,4,2.158763435980407,-0.1428539353247413,Loyal High-Value Customers,7111.866000000001,6316.31643374459
07741dc2-aba8-4aae-9569-9593fc0d35b3,74,8,5512.62,689.08,4.31748811353631,6.536807532899533,1,0.3445507654033832,0.1959021771450526,Loyal Customers,2465.37,3659.896650649349
077e8b54-6994-426e-a588-8307015208cb,329,5,3276.48,655.3,5.799092654460526,6.486618001479677,3,-1.1636546358810858,0.7604326306882331,New Customers,2465.37,4792.901406110558
07858e54-b8fd-4d29-bd51-4fbbc7adf8a1,22,9,7688.27,854.25,3.1354942159291497,6.751393823857714,0,1.376728988422925,-0.317244397870044,Loyal High-Value Customers,5826.033333333333,5414.681137619044
0785fdb3-685a-451e-bcc3-47fa36c2d5ec,90,4,4525.02,1131.25,4.51085950651685,7.031962082436324,2,-0.6341712694972058,-0.0878603210852048,"Moderate Spend, Low Frequency",5826.033333333333,5313.978590194808
07a9d616-3d89-4bd5-a78e-e2503fb8c61c,116,5,4570.58,914.12,4.762173934797756,6.819055204217418,1,-0.5365130730438362,0.1726220370347645,Loyal Customers,5826.033333333333,5598.848446060612
07cbadbd-39b5-48e1-9c8f-262fb5fdeb3d,12,14,16381.71,1170.12,2.5649493574615367,7.065715834863156,4,4.195913871472771,0.6541970833912255,Loyal High-Value Customers,5826.033333333333,6019.873357272723
