Username,location,date,content,Rating,Category
customer,US,3 days agoVerified,"Bill Harvey was immensely helpful…Bill Harvey was immensely helpful checking stock at the manufacturer to ensure they could ship in time to meet my delivery date.  Date of experience: January 10, 2025",5,Home
Dr. M,US,"Jan 1, 2025Verified","Glad I checked with bulbs.comExcellent customer service! Cole was very knowledgeable, friendly, professional, and patient. He answered all my questions, and helped me make the right selection for lighting our office--both quality and reasonably priced. He proposed a good deal, and I'm glad I checked bulbs.com before going somewhere else. He was also efficient in carrying out my order, and he even helped me get an energy saving rebate. Thank you bulbs.com!Date of experience: December 31, 2024",5,Home
DanShaf Wood Finisher,US,2 days agoVerified,"Knowledgeable and Friendly Sales StaffExcellent sales advice helping me choose the right bulbs for my specific situations.Date of experience: January 10, 2025",5,Home
customer,US,"Jan 3, 2025Verified","Ordering is easyOrdering is easy.  Shipping is fast.  Product is good.  They are responsive and helpful.  We will keep returning.Thank you!Date of experience: January 03, 2025",5,Home
Robert,US,4 days agoVerified,"The sales rep went out of his way to…The sales rep went out of his way to accommodate my needs. Thank you very much.Date of experience: January 09, 2025",5,Home
Venetian Light,US,"Dec 20, 2024Verified","I’m an electrical contractor and they…I’m an electrical contractor and they have everything I need and good prices and quickest delivery and. I have used them for many years and sales person I deal with is very knowledgeable Date of experience: December 17, 2024",5,Home
J Gromek,US,"Dec 6, 2024","Kevin was super helpful and friendlyWe are a church having to make some lighting changes to meet new laws.  Kevin was super helpful in learning about our needs and recommending appropriate products.  Not only was he very knowledgeable and friendly, he also a rebate from our local utility that lowered the cost of the upgrades.Date of experience: December 04, 2024",5,Home
Frosty Montgomery,US,"Dec 17, 2024Verified","haven’t gotten the bulbshaven’t gotten the bulbs, only just placed the order but Bill Harvey was very nice and efficient and I will know how good this whole transaction has been after I get the bulbs and install them and know  that they are giving me great light.Date of experience: December 16, 2024",5,Home
Poppa Box ,US,"Dec 6, 2024Verified","Cole was extremely knowledgeable and…Cole was extremely knowledgeable and answered all of our questions and placed the order promptly. We will be doing more business for sure with your company. Date of experience: December 06, 2024",5,Home
Sonya Woodard,US,"Nov 15, 2024Verified","Sam Houston took my small order but made we feel like I was spending a million dollars!                  Sam Houston took my small order but made me feel like I was spending a million dollars.  He was very helpful and explained how to properly install the bulbs. It was our first order and he quickly took all of our information and confirmed our tax exempt status.  It was a great customer experience.Date of experience: November 15, 2024",5,Home
MaisieMarshall,US,"Nov 6, 2024","Awesome Product....Getting started replacing out old vendor was extremely easy with the help from Anne Marie Scatena. She responded  quickly and found exactly what we were looking for and was able to provide us with savings on every item.Date of experience: October 26, 2024",5,Home
NWCCOG William Wrightcustomer,US,"Oct 31, 2024Verified","Vendor ChangeGetting started replacing our old vendor was extremely easy with the help from Anne Marie Scatena. She responded quickly and found exactly what we were looking for and was able to provide us with savings on every item. Date of experience: October 30, 2024",5,Home
Jeff Reber,US,"Oct 26, 2024","A True Problem Solver!Ann Marie was fantastic!  I had an 8 year old 3-bulb home bathroom fixture with no manufacturer name or ID number on it.  And none of the 3 bulbs showed a manufacturer or ID number either!  Once I explained the situation she asked a couple of quick questions and immediately determined the current bulbs had an E11 base.  She then sent me to their website and guided me through a drill down search to a page displaying multiple options that she was also looking at.  After discussing additional size and illumination specifications alongside each photo there, we both agreed on the best option.  And upon receipt they fit perfectly!  It was a small $57 order that took a lot of her time, but she was extremely knowledgeable, patient, eager to help, and friendly throughout.  Kudos to Bulbs.com for having such a professional salesperson on staff!  I encourage you to ask for her the next time you call.  Jeff R.Date of experience: October 17, 2024",5,Home
Lorin,US,"Nov 14, 2024Verified","David was greatDavid was great.  Friendly, personable, professional and courteous all wrapped in one package!  Made it incredibly easy to order the items I needed and get it out to me asap.  And signed my company up as a new client at the same time.  Will definitely order from him/Bulbs.com again.  Date of experience: November 14, 2024",5,Home
BoB-,US,"Nov 27, 2024Verified","People that care and know what they are doingFantastic customer service reps at this place. It's always nice to get someone friendly and knowledgeable and gets right to the point and KNOWS what they are doing. That was re person I had. Thanks muchBoB-)Date of experience: November 26, 2024",5,Home
customermichael puissegur,US,4 days agoVerified,"Person on phone was greatDate of experience: January 09, 2025",5,Home
customer,US,"Jul 2, 2024","Above and BeyondOur commercial rep Ann Marie took the time when we started working together to get to know what projects we have going on and what we may have upcoming.  She used that conversation to keep us updated with new product info to help us meet those goals better/faster.  Ann Marie has been a great partner and resource for our company. Date of experience: July 02, 2024",5,Home
Consumer,US,"Oct 1, 2024Verified","Great Customer ServiceCole researched to see if there were any rebates available besides giving us good deal since we were able to purchase 2 cases.  Great Customer Service!Date of experience: October 01, 2024",5,Home
Bob,US,"Dec 18, 2024Verified","Your rep could not have been more….Your rep could not have been more helpful in setting up a new account.Date of experience: December 18, 2024",5,Home
Matthew  GreenVolt EV,US,"Dec 5, 2024Verified","Dave was Great!David was very nice and easy to talk to.  Helped me with rebate incentives in my state and got my order going very fast!Date of experience: December 03, 2024",5,Home
John  G,US,"Jul 25, 2024Verified","My Bulbs Representative is amazing!My company had a very unique lighting challenge, that my representative met with expertise and specific data to overcome the obstacles. I could not even have come close without much trial and error without her help. Thanks, Bulbs for having professionals that don't mind patiently working out solutions.    Date of experience: July 25, 2024",5,Home
