brand,Category,price/value,reviewsCount,stars,Product
Supplement Tree,Pharma,7.97,564.0,4.5,A-Z Multivitamins and Minerals Tablets - 180 Vegan Multivitamin Tablets for Men & Women (6 Months Supply) - One a Day 26 Nutrients Multivitamins and Multi Minerals Pills - UK Manufactured
Love Cocoa,Grocery,14.95,880.0,4.3,"Love Cocoa Caramel Birthday Cake Chocolate Truffles in Luxury Gift Tube - White Chocolate with a Caramel Filling - Perfect For Birthdays, Christmas, Easter & Gifts - Approx 13-15 balls, 150g"
NIAKUN,Electronics,399.99,122.0,4.6,"NIAKUN 16 Inch Laptop Pc Computer, Notebook RAM 16GB+SSD 1TB, Processor N100 (up to 3.4Ghz) Full HD 1920x1200P, Laptop Computer Keyboard with Backlight, Window 11 Pro, USB 3.0, 6000mAh, HDMI"
N!CK'S,Grocery,9.95,1135.0,4.0,"NICKS Keto chocolate blocks, Milk chocolate hazelnut crunch no added sugar, low carb, gluten free, without palm oil (3x75g)"
VitaBright,Pharma,17.99,3431.0,4.6,"Adult Multivitamin with Iron and Minerals, 400 High Strength Multivitamin 100% RDA of All Vitamins, Vegan Multivitamin Tablets for Women, Multivitamin Tablets for Men, VitaBright Vitamin Supplements"
jumper,Electronics,229.97,130.0,4.5,"jumper Laptop, 15.6 inch HD Display, Windows 11, 5205U Processor, 4GB RAM 128GB SSD, 38Wh Battery, Dual Stereo Speakers, USB3.0, Office 365 1-Year Subscription, Keyboard Film UK."
Gloryfeel,Pharma,19.95,18813.0,4.4,Multivitamins & Minerals - 450 Vitamin Tablets (15 Months Supply) - High Dose Multivitamin for Men & Women - Immunity Supplements with All Essential Active Vitamins and Minerals A-Z
your surprise,Grocery,34.99,3851.0,4.5,"Personalised Giant Milka bar - Personalised XL Milka Chocolate bar Featuring The Name and Message of Your Choice, with 12 Delicious Milka Chocolate Bars (12 Bars - Milka)"
ACEMAGIC,Electronics,389.99,163.0,4.4,"ACEMAGIC 16 inch FHD Display laptop, Quad-Core N-97 Processor Up to 3.6GHz（Beat N5095） laptop computer, 16GB DDR4 512GB SSD Notebook Computers with Metal Body Support WiFi, BT5.0, 3*USB3.2"
Thorntons,Grocery,6.35,4063.0,4.5,"Thorntons Continental Chocolate Gift, Perfect for Sharing, Gifts for Women and Men, Unique Flavours Milk, White, Dark Chocolate, 264g"
Lenovo,Electronics,189.99,31.0,4.3,Lenovo IdeaPad 1 | 15 inch Full HD Laptop | Intel Celeron N4500 | 4GB RAM | 128GB eMMC | Windows 11 Home in S mode | Microsoft 365 Personal | Cloud Grey
Lindt,Grocery,,768.0,4.7,"Lindt LINDOR Milk Chocolate Truffle Wrapped Gift Box , 287g - Perfect for Sharing and Gifting - Chocolate Balls with a Smooth Melting Filling"
Nu U Nutrition,Pharma,16.96,12107.0,4.4,"Multivitamin Tablets for Men & Women - 365 Tablets - 1 Year Supply - 25 A-Z Multivitamins & Minerals Including Iron, Zinc & Vitamin D - One a Day - Made in The UK - Nu U Nutrition"
Nutravita,Pharma,19.99,17781.0,4.6,Multivitamins & Minerals - 365 Vegan Multivitamin Tablets - 1 Year Supply - Multivitamin Tablets for Men and Women with 26 Essential Active Vitamins & Minerals - Made in The UK by Nutravita
WeightWorld,Pharma,16.49,8548.0,4.4,"Multivitamin Tablets for Men & Women with 27 Active Multivitamins & Minerals Like Iron, Zinc, & Vitamin D - Peppermint Flavour 400 Micro Tablets - Vegan Multivitamins Nutritional Supplement"
ASUS,Electronics,269.99,569.0,4.4,"ASUS Vivobook 15 E1504FA 15.6"" Full HD Laptop (AMD Ryzen 3-7320U, 8GB RAM, 512GB SSD, Windows 11 Home)"
SMART BUNDLES,Grocery,26.99,6.0,5.0,"Mini M&M Peanut Butter Chocolate Share Bags – 243g Party Bag with Milk Chocolate – Ideal for Movie Night Snacks, Chocolate Gifts & Sharing (3 Pack)"
HP,Electronics,159.99,253.0,4.3,"HP Chromebook 14"" | Intel Processor N100 Processor| 4 GB RAM | 128 GB Flash Storage | Intel UHD Graphics | HD Display | Up to 12hrs battery | Chrome OS | Dual Speakers | Glacier Silver | 14a-nf0002sa"
Centrum,Pharma,15.0,9723.0,4.6,"Centrum Advance 50+ Multivitamin Tablets for Men and Women, 100 Tablets, Vitamins with 24 Essential Nutrients, including Vitamin C, D, and Zinc (Packaging and Tablet colour may vary slightly)"
Celebrations,Grocery,20.33,22549.0,4.6,"Celebrations Bulk Chocolate Box, 2.4kg, Assorted Chocolates Gift Box with Mini Chocolate Bars & Biscuits"
Martin’s Chocolatier,Grocery,18.0,4290.0,4.5,"Martin’s Chocolatier Velvety Chocolate Truffle Collection | 15 Luxury Chocolates Gift Box | Milk, White, Dark Belgian Chocolate Assortment for Christmas, Birthdays, Anniversary & Celebrations (205g)"
Centrum,Pharma,17.89,4091.0,4.7,"Centrum Advance Multivitamin & Mineral Supplements, 24 essential nutrients including vitamin D, C, Calcium, Daily Multivitamin Tablets, 180 (Packaging and Tablet colour may vary slightly)"
HP,Electronics,679.99,100.0,4.2,"HP Pavilion 15.6"" Laptop | AMD Ryzen 7-7730H Processor | 16 GB RAM | 512 GB SSD | AMD Radeon Graphics | FHD Display | Up to 8hrs battery | Win 11 | Audio by B&O | Natural Silver | 15-eh3000sa"
OUKAJO,Home,5.99,493.0,4.5,"OUKAJO E14 LED Light Bulb,Small Edision Screw (SES) Candle, Energy Saving Light Bulb,5W(Equivalent to 40W) Warm White 3000K 450lm,5 Count (Pack of 1)"
LOHAS-LED,Home,9.99,1090.0,4.5,"LOHAS-LED Cool White Light Bulbs, 100W Equivalent Bayonet Light Bulb, 12W B22 LED Light Bulb 6000K, 1100LM Super Bright Light Bulb, Non-Dimmable, Energy Saving Light Bulbs Bayonet for Hallway, 3 Pack"
