Username,location,date,content,Rating
Tony,US,11 hours agoVerified,"GREAT service!My daughter saved up money to purchase a refurbished an HP Chromebook from Reebelo, through Walmart. When she received it though it was missing it's charger. A few short & courteous exchanges later, brought a ""brand new"" charger to our doorstep within a couple short days. They left nothing half done, they extended her warranty & issued her with a discount towards a future purchase for her trouble. Reebelo is a great place to purchase refurbished electronics from & we will be taking advantage of that discount!Date of experience: January 12, 2025",4
Nicole,US,29 minutes agoInvited,"My MacBook Air (2022) was shipped…My MacBook Air (2022) was shipped quickly and arrived on time. It was packed with care and was, to my surprise, in its original box (within another box). The condition is exceptional. Hard to believe it had ever been used by another person. The MacBook I purchased was priced lower than comparable items. I am 110% satisfied with my purchase. Date of experience: January 13, 2025",5
Greg Watchmaker,US,14 hours ago,"I bought a refurbished Samsung phone…I bought a refurbished Samsung phone when mine went swimming with me.  Their website description of available phones was spot on and selection large.  They shipped within hours and I received my phone the next day even though I only paid $20 for expedited shipping.  The phone works perfectly, arrived unlocked.  I needed to touch base with customer service regarding another phone I had purchased and couldn't be happier with the responsiveness.  Definitely a Reebelo new customer for future purchasesDate of experience: January 11, 2025",5
kondapalli abhinav,IN,18 hours ago,"I bought an Apple Watch Series 7 from…I bought an Apple Watch Series 7 from Reebelo, after looking at the reviews overall. It doesn’t charge properly and clearly has a faulty battery. The battery drains from 100% to 1% within minutes and, even worse, shows as 100% charged in just a minute. It overheats constantly, making it unusable. All this happens while the Battery Health still shows Maximum Capacity at 100%—which is absurd. This is unacceptable for a so-called ‘premium product’ from Reebelo, sold as ‘as good as new.’ It’s a dummy watch with either a fake or damaged battery. Extremely disappointed with Reebelo’s ironic ‘premium’ service. This has been a terrible experience.Date of experience: January 10, 2025",2
Luca,AU,A day agoInvited,"I bought a MacBook Pro 2021 (Premium)…I bought a MacBook Pro 2021 (Premium) and the battery health status was 99%. I couldn’t be happier. The deliver was very quick, as I bought the laptop on Tuesday morning and I received on Friday morning. Everything is perfect except that the charger doesn’t work (besides looking old and definitely not premium), therefore I will return it. Also, the caps lock key doesn’t always work properly, but I can’t return the laptop as I need it for work.Date of experience: January 12, 2025",4
Nick,CA,Updated 17 hours agoInvited,"Great customer service.Great customer service.. The item I bought, which was the galaxy tablet S9.. It was brand new.I thought it was going to be used, but in like new condition, but it was brand spanking new. Extremely satisfied with my purchase, I definitely recommend.Date of experience: January 11, 2025",5
Jean Mumba,AU,A day agoInvited,"Great experience all round Bought an iPad 8. Easy to shop, informative and the iPad I got feels almost brand new. Delivery was fast! Will definitely come back for other items, very elite service at affordable prices (also grateful about the warranty). Date of experience: January 12, 2025",5
MP,AU,A day agoVerified,"I received one of my products within 3…I received one of my products within 3 days! And it’s in perfect condition. I have already recommended Reebelo to a few people because who would say no to perfectly good items for a fraction of the price. Definite no brainer and I will continue to buy off here when I need other things. You can’t even tell that they aren’t brand new. Date of experience: January 12, 2025",5
Natalie,CA,18 hours agoInvited,"Great quick delivery of my iPhone14Great quick delivery of my iPhone14. Reminder to those who source from the US, this phone did not come with a physical SIM holder so I had to make a quick adjustment to the eSim world!Date of experience: January 12, 2025",5
Deasia,US,A day agoInvited,"My laptop came fast I have the 2014…My laptop came fast I have the 2014 MacBooks air and I love it but I can’t play game like that really it runs the processor hard but other than that I love it and the shipping was only 2 days Date of experience: January 12, 2025",5
L.,CA,2 days agoInvited,"Great selection, good price pointsI wanted a good quality refurbished phone and Reebelo has the range I was seeking. Everything was clearly described. The selection was great and I liked the option to upgrade the battery too. Everything was clearly explained including the warranty. The purchase arrived quickly, in flawless condition. Very pleased and have already recommended Reebelo.Date of experience: January 07, 2025",5
Revonda Mehovic,US,3 days agoInvited,"Great phone at a decent priceThe iPhone came in excellent condition with required battery life. The case was in excellent shape with no obvious scratches, etc. This was an unlocked phone and worked with the sim card we wanted. Great overall experience.Date of experience: January 10, 2025",5
Jessica mcelravy,CA,1 days ago,"More than satisfied!! Definitely recommend!!!So it’s been about a year since I bought my iPhone 12 off of Rebello and I couldn’t be more satisfied with it. I got a great deal on it a great package deal and I’ve had absolutely zero problems from it and it’s worked fantastic. You wouldn’t know that it was refurbished. I just I’m now posting the review because I’m thinking about going on there and buying a MacBook so I just wanted to give them a shout out and give them a good review and rating and recommend them if you’re looking for a quality Apple product with a warranty and if you get a package deal With your phone or whatever you’re getting, you really get a great Deal!! Date of experience: February 11, 2024",5
Percy Don,AU,2 days ago,"Faulty power button on the phone that I…Faulty power button on the phone that I bought.* Lots of physical damages/scratches than I expected. I had no time to claim the warranty as it was going overseas. And that's outside of the first fourteen days of the warrant claim period.I wouldn't recommend, DO NOT leave yourself disappointed.Date of experience: January 07, 2025",1
vern,CA,3 days agoInvited,"Phone was in excellent conditionPhone was in excellent condition. When turned on for the first time the screen showed the Ottawa weather not Calgary's. Wish it had being delivered by Canada Post because I don't have to be home, even if it's a large parcel. I like Trustpilot.Date of experience: January 10, 2025",5
Maddog's Garage,US,18 hours agoVerified,"Good experienceReasonably priced. Delivery timeline was a little confusing. They gave timeline of delivery prior purchase. Once purchased, the timeline changed. It all worked in a sensible manner.Date of experience: January 12, 2025",4
Nicolasa,AU,A day agoInvited,"Very goodThis is my first time to buy aphone from Reebelo and the seller is Mobile Federation. My experience was very good. The product was in very good condition. The delivery was very fast just within 2 days.Thank you Reebelo and Mobile Federation!Date of experience: January 12, 2025",5
Mr,AU,7 hours ago,"Got an iPhone 15 pro in excellent…Got an iPhone 15 pro in excellent condition, came with 100% battery and seems to be completely new. So happy with this, saved $500 for a perfect phoneDate of experience: January 13, 2025",5
Megan Rainbird,GB,A day agoInvited,"Product arrived exactly as describedProduct arrived exactly as described, looks brand new, not a mark on the back or the front screen. The addition of the extra charging cord was also a bonus 👍Date of experience: January 12, 2025",5
Doug,US,5 days agoVerified,"Good selections, good price, FedEx misdelivered... Selection process was pretty straightforward, and the array was what I was interested in, an iPhone 14 Max Pro. There was a suggestion of a preferred pick which was not the most expensive option. I went with it, and the phone was better than described with 90% battery life upon arrival. Very satisfied with my purchase. Will recommend to others. FedEx delivered to wrong address, but I got it. Packaging was a bit lightweight for a purchase of this amount in my opinion, but all ok.Date of experience: January 01, 2025",5
Khizer,CA,2 days agoInvited,"Amazing experience Amazing experience Order arrived within 4 days.The device is scratchless and excellent condition.Only complaint is that the battery health is 82% for excellent device which needs charging twice a day otherwise everything is 10/10Date of experience: January 11, 2025",5
Warwick Doolan,AU,Updated a day agoVerified,"I was very happy with the computer I…I was very happy with the computer I purchased from Reebelo. Arrived safely the packaging was excellant. It was a real pleasure to set up my Windows 11 PC and it's whisper quiet. Very happy to buy from Reebelo in the future well done guys.Date of experience: January 12, 2025",5
Marie,AU,11 hours ago,"I bought a first phone the 24th Nov…I bought a first phone the 24th Nov 2024, paid the express shipping, but at the end I received a different phone. I had to wait for answers for days, as the customer service wasn't responding during the weekend, and wasn't really in the hurry to answer me even during the week.Once I manage to finally have an answer, and send the phone back, the phone I paid for wasn't available any more. So I've been refund. But not of the express shipping ""that has been sent on time"". Then, I had to reorder a new one, but once again I receive a phone not corresponding with my order. I order a dual sim to receive a mono one. As I have no way to leave a review on the website after my double bad experience with them, I leave one here. Be careful if you order on Reebelo, you maybe will experiment the same problems as you cannot leave a bad review on their website.Date of experience: November 24, 2024",1
Daryl Bong Aik Tong,SG,3 days ago,"Terrible after-sales customer service - never buying againCustomer service is absolutely useless. Bought a Samsung Z-Flip with extended warranty. When the screen started to fail, wanted to send it in for repair. Used their web portal, took photos and uploaded all the relevant information. Customer service replied via email giving info about how to return the phone. I wanted to get it repaired, not returned. Told the agent as such, but just got an automated response. Thereafter, just a bunch of automated responses asking for the same information over and over again. It's been 2 weeks, and still no resolution. Utterly useless. Won't ever buy from them again.Date of experience: December 29, 2024",1
daniel sparks,AU,5 hours ago,"Don’t buy from reebeelo Bought an excellent quality iPhone 13.Was appalled with the device, paid for a new battery, and the device heats up and goes through battery more than my old iPhone X.Face ID not workingVideo camera not working Tap to wake usually th re screen goes dark blue.No brightness, can’t use it outsideCan only see the screen in dark roomThat’s just what I discovered in a day of an excellent phone.Customer service sucks, it’s just robotsI was offered to speak to someone when I filed the warranty, then told via email that’s not an option.I don’t recommend this company at all!Date of experience: January 13, 2025",1
Anabelle,AU,A day agoVerified,"2020 MacBook ProI bought a 2020 MacBook Pro. Very happy with the quality and the fast delivery. The only thing is the battery says recommends service and dues fairly quick when large files are open. But otherwise great purchase!Date of experience: January 12, 2025",4
Julian,US,Updated 4 days ago,"Purchased an Iphone 12 in excellent…Purchased an Iphone 12 in excellent condition.  The phone received has several visible nicks or dents on its side frame, and a scratch across the apple logo. Not up to Reebelo's ""excellent"" description. A little disappointed as the first timer buyer. Took a few emails with the Reebelo customer service to meet Reebelo's photo requirement for a return label. The phone is going back. Thanks.Date of experience: January 06, 2025",4
Betty P,SG,1 days ago,"Reebelo is a scam. Do not buyTldr; Reebelo sold me a $600+ phone just to waste my time. Sold me a phone whose lock screen button kept getting jammed. I needed to fix it 3 times within 2 months. I barely was able to use the phone for a few days before having to send it back to repairs (which would take a week or more). The third time, I dropped it while trying to get the lock screen button to work, and the customer service agent said it’s “no longer eligible for the warranty.” I spent my own money getting the phone fixed and just resold it again (at a 50% discount…)Date of experience: January 12, 2025",1
Kelley,US,21 hours agoInvited,"Would recommendI needed to get a new work phone and didn’t want to spend a ridiculous amount of money. I found Reebelo through google and I will be purchasing all my work phones through them now. They are fairly priced and shipping is insanely fast. Thank you!Date of experience: January 12, 2025",5
John Hays,US,A day agoInvited,"Ipad 8 arrived well packaged and in…Ipad 8 arrived well packaged and in excellent condition.  Performed flawlessly.  I will use Reebelo again.Thank youJohn Date of experience: January 12, 2025",5
James,CA,2 days agoInvited,"Got the phone in a protective package…Got the phone in a protective package and it appears in amazing condition. Waiting for my techy friend to help me switch my current phone over Date of experience: December 26, 2024",5
Tony,AU,4 days agoInvited,"Ordered parts arrived promptlyOrdered parts arrived promptly.  Phone was very fast.  Screen protector and case a little longer.  My only issue is an invoice for the extended warranty seems to be missing!  My bookkeeper is hassling me for one!Date of experience: January 10, 2025",5
K A,TT,Updated 4 days ago,"I bought S21 screen was lifting when I…I bought S21 screen was lifting when I got it I was unable to ship it back to get a refund because of the country I live I do not recommend buying Samsung it stopped working 2 days ago tracking number 281680461360 bought a iPhone 14 pro for thanks giving it works well.  I don't know how to return the s21 I live in the Caribbean. Date of experience: November 10, 2024",1
Carol Ryan,NZ,2 days ago,"Don't bother purchasing through…Don't bother purchasing through Reebelo. I purchased a Samsung Flip 4 (their top grade) in October 23 and its screen totally died 4th Jan 2024. The whole screen came apart from the phone at the fold. I had to email them 4 times before they actually said  the warranty was only 12 months so end of subject. No phone number of course. For $939.00 I expected more!Date of experience: January 11, 2025",2
Godwin,AU,A day agoInvited,"Worth it 100%It was a good experience this is my second time shopping on Reebelo. The phone (s24 ultra) and now the laptop, was a worthy buy. All like new fully functional.Date of experience: January 12, 2025",5
Jake Parbery,AU,3 days ago,"Iphone 15 Pro Max Premium conditionI ordered the Iphone 15 Pro Max in premium condition, When I recieved the Iphone there were a few minimal scratches to the metal and the screen, later that day there was a glitch with the dynamic island which disappeared as I turned the phone on. Not sure if I will order from this website again, will see if there are any other problems in the future. Date of experience: January 08, 2025",3
