Username,location,date,content,Rating
Poor quality,US,2 days agoVerified,"Need to be rebooted often to hear callers The phones themselves are super cheap and the service goes bad often leaving voices garbled or robotic and impossible to hear . Need to constantly unplug and reboot and sadly you don’t know when till you can’t hear the costumer on the other line.Date of experience: January 11, 2025",2
Bob Agoglia,US,4 days agoVerified,"Best Phone System we have ever hadBest Phone System we have ever had. I only have one complaint.  I own a technology company and recommend RingCentral many times, but your referral program is awful.  This week alone I recommended you guys twice.Date of experience: January 02, 2025",5
Ann,US,5 days agoVerified,"FEEDBACK TO FIX ISSUESBetter English speaking technicians. Some of the techs have ""very heavy foreign accents"" which is very difficult to understand when they are explaining a process.  They need to slow down and speak ""CLEARLY"".  Also, as a user we familiar not with the different features that Ring Central has and the steps/rules to make changes.  When the tech is explaining the process/procedure to change a rule, he/she needs to explain it STEP-BY-STEP. DO NOT ASSUME the user knows what or where the button or pull down menu is located on the screen.AnnDate of experience: January 08, 2025",2
Cinthia,US,2 days agoVerified,"RingCentral is easy to use and they…RingCentral is easy to use and they have great customer service. I will recommend RingCentral for every small business or large businesses looking for easy to use phone system and affordable too.Date of experience: January 03, 2025",5
Jason Burns,AU,5 days ago,"TerribleWow! I thought Telstra was bad, but these guys make Telstra look great! They have been overcharging us for 8 months. I am told via email to call a number to correct the situation, however when I call the number, the people can't put me through to the ""Customer Success Team"" who are the only ones that can 'correct' the situation. I'd love to decline the credit card payments, but this would mean our phones get cut off. We are very much looking forward to our contract ending so we can go elsewhere, and I would suggest others do the same to save yourself from having to experience some of the worst customer service on the planet.Date of experience: January 09, 2025",1
Stacy Ransom,US,6 days ago,"Scam - the only way to stop auto-renewing contract is to pay $2k - SCAMDO NOT sign up for this company for ANY reason. Our business has been trying to cancel with them for over a year. We haven’t been using their services because we switched to someone else. We were told our contract auto-renews and the only way to get out of it is to pay a $2,000 cancellation fee. We sent several emails telling them NOT to auto renew our contract, but in August, they charged us AGAIN, even though the card we have on file expired. Customer service was incredibly rude and refused to help us. Our only course of action is to put a stop payment with our credit card company and if that doesn’t work, we’ll be seeking legal action. This company is an absolute scam. Date of experience: August 01, 2024",1
customer,US,4 days agoVerified,"Still needs improvement!Overall, good service, but still need to refine the application.  For example, can you please tell me why you cannot delete ""Teams"" information in the Message folder???  Not only is this irritating, it also represents a confidentiality issue.Date of experience: January 02, 2025",4
customer,US,6 days agoVerified,"As a dispatcher for a transportation…As a dispatcher for a transportation company, I am responsible for assigning drivers to routes, dispatching them to their destinations, and tracking their progress. RingCentral allows me to do all of this without having to rely solely on memory because it generates notes for each call. This is a huge advantage, as it allows me to respond quickly to changes in route and schedule, and to communicate with drivers and customers.Date of experience: January 07, 2025",5
Josh Ferris,US,4 days ago," TrappedI've had a horrible experience with RingCentral. When my business was closing I had to cancel my service. After being a customer for 7 years, they forced me to pay for an additional 10 months that I had on my contract. This is a huge expense for a small business. I can't believe that they would take advantage of their customers by hiding the clause in the small print of the contract. As a busy person, I don't read all the small print. If your company has an legal and/or IT department, perhaps this service would make sense for you. However as a small business owner, I fell into the trap they set. This is not a matter of a customer service failure, this is just the result of RingCentral executing their business plan. I have been trying to close my account, which I was told on two separate occasions would be processed within 24-72 hours. It has now be much longer and I will need to contact them or the BBB to resolve this. RingCentral has had ample opportunity to resolve this. I have agreed to pay out the contract, but still they have not processed it. I will never use RingCentral again.Date of experience: January 09, 2025",1
customer,US,"Jan 5, 2025Verified","Different communication capabilities.I like that we're able to call, text and video call. Those capabilities in one application are very important to us.I don't like how difficult it was to set up texting.I don't like the billing aspect. If I put my credit card on file for payments, I would like to pay what I want when I want to pay it. Not the whole lump sum, I think that is too aggressive.Date of experience: December 27, 2024",3
customer,US,6 days agoVerified,"Overly complicated for a small business…Overly complicated for a small business so much so that I have to call customer service for majority of setting changes I wish to make. I appreciate you can reach customer service easily.Date of experience: December 28, 2024",3
customer,ZA,3 days agoVerified,"Unable to reach our account manager to complete the setupWe activated our account on 13 Dec and since then I have been unable to reach our contact to complete the setup and correct some errors.Date of experience: January 09, 2025",1
Josh A.,US,"Jan 3, 2025","Terrible service, restricted trial, terrible customer serviceFree trial is not full featured, so no way to know if it meets our needs.  Called to enable all features, and they said I have to convert to being a paid number to get all the features, so not sure why they offer a trial.  When I tried to cancel the free trial, they had me on hold for 25 minutes waiting for their ""special department.""  And then they asked me a security question that I never set up.No way to contact support other than calling them.  No chat options, no email options.App and website look like they're 15 years out of date.  Date of experience: January 03, 2025",1
Richard W.,US,"Jan 3, 2025","THE WORSTTHE WORSTA joke of ""customer service."" My issue and the back and forth with customer service associate spanned across nearly 3 months and ended with no resolution. Ring Central should have (and perhaps did) paid an AI bot to provide the level of service this person(s) did. I'd love for you to take a look at the email exchanges and use it as what NOT to do...Date of experience: December 19, 2024",1
customer,US,"Jan 2, 2025Verified","Too expensive and too difficult to…Too expensive and too difficult to cancel the service. The service isn't bad. When I tried to cancel after the first year, I was told that since I didn't tell them I wanted to cancel, I was essentially under contract for ANOTHER year. Feels like that should've been disclosed to me when I signed up. But it wasn't. Date of experience: January 02, 2025",1
Gee,US,"Jan 4, 2025Verified","RingCentral is every small business…RingCentral is every small business owner or managers friend. We are very please with the phone service provided by RingCentral. Date of experience: January 03, 2025",5
officialbest,US,"Jan 4, 2025","Totally inept customer service and deceit from salesTotally inept customer service. We had a toll free number for over 15 years. There was some sort of billing issue and we were not notified of this and our number was cancelled. We have called it and it is not in service with someone else but for literally 2 weeks I have been giving a MINDLESS run around as NO ONE can let us know if it is available. WHAT IS WORSE is we were told we needed to sign up for a new account in order to get it back with a 90-95% change of getting it back if we did and we did and GUESS WHAT? This mindless runaround with no answers 2 weeks later and several calls and emails with zero results. Go to Grasshopper if you need a service. This company has gone from bad to outrageously insane.Date of experience: January 03, 2025",1
ahijith chandra,AU,"Jan 5, 2025","They make it impossible for you to…They make it impossible for you to cancel. I called them two days ago requesting to cancel. Was informed that I would get a call back in 48 hours but nothing yet. Very disappointing, avoid them at all costs. Date of experience: January 03, 2025",1
Olga Rodriguez,US,"Dec 24, 2024Verified","No capability to share texts received between multiple usersIt is very annoying to not be able to share texts and general voicemails with a group of multiple users.  In a small business set up, few people have to all pitch in with the phones and texts.  When this is not a capability, it generates much work for several people and few for others making the business less efficient.  There should be a general text, call and fax that members of a company can use to quickly get back to customersDate of experience: December 17, 2024",3
Accounting Simplified LLC,US,"Dec 17, 2024Verified","Remote Team MagicWe have a remote team spread across the contiguous US.  RingCentral has given us the ability to manage incoming calls and call transfers over great distances.  We are able to have weekly team meetings including screen shares and video calling.  The platform has helped us remain a close-knit team even though we are not geographically together!Date of experience: December 17, 2024",5
Chris,AU,"Dec 30, 2024","Absolute joke of a companyAbsolute joke of a company. Sign up is super easy…..but god help you if you want to cancel. I’ve been trying for months. Took a couple months to even hear back from their “customer experience” moron even though I kept following up.You will never be able to cancel once you sign up it basically impossible.To top that off they had the gall to ask if I would help transfer the numbers to another business instead. What a joke I’m not your sales person!Aside from all this all the scammers who call you during the day are using these numbers so goodluck getting anyone to answer the phone when you try to call them from the Ring Central numbers.This place should be shut downDate of experience: December 30, 2024",1
customer,US,"Dec 21, 2024Verified","Process to get TCR registration…Process to get TCR registration approved has been nothing short of a nightmare. Worse yet, we're still paying for the ability to text using our RingCentral numbers without being able to actually use the service.That is hot garbage, RingCentral. Every time that there has been a TCR registration submitted the goalposts get moved for more reasons that we're not asked to meet than originally requested.0 out of 5 stars.Date of experience: December 21, 2024",1
Ivan,US,"Dec 26, 2024Verified","RingCentrral ReviewThere are several features that make it a great system to have in a business.In addition, their tech support responds to first calls within an acceptable time.Date of experience: December 26, 2024",4
Mike Reibman,US,"Dec 19, 2024Verified","Not perfect.There's a definite gap in customer service. The call quality is good, implementation was ok, but lacked detail. Our focus is more on desk phones than bells and whistles. However, setting up SMS texting is a ridiculous process - despite being touted as included. So for call quality and reliability of the basics, I give it thumbs up.The gaps in customer service and attention to detail make it just ""ok"".Date of experience: December 18, 2024",4
Customer,US,"Jan 2, 2025Verified","Registration ProcessWe initiated our text messaging campaign on November 28th, 2024, and as of January 2nd, 2025, we still do not have access. We have sent numerous emails that went unanswered and made multiple calls, receiving conflicting information from various representatives. This lack of communication and clarity has been highly frustrating and has impeded our progress.Date of experience: January 01, 2025",1
customer,US,"Jan 4, 2025Verified","Not happy about not being approved for…Not happy about not being approved for the sms, we have provided all the information needed and they have been rejecting us since January 2024z very very disappointing Date of experience: January 04, 2025",1
Precious Proscovia,US,"Dec 29, 2024Verified","I have called and I have emailed…I have called and I have emailed Multiple TIMES ASKING YOU TO STOP REMOVING MONEY FROM  my account yet you still do!STOP REMOVING MONEY FROM MY ACCOUNT AND DISCONTINUE ALL MY SERVICES WITH YOU!!!!!!!!!!!!!Date of experience: December 28, 2024",1
customer,US,"Jan 2, 2025Verified","30 days cancellation notice is a…30 days cancellation notice is a bullshit ripoff tactic. Everything about the way this company does business is wrong.Date of experience: December 31, 2024",1
Jen,US,"Dec 12, 2024","Well rounded complete software with excellent consistent resultsThe platform rarely has outages, which makes my job to support it for the company much easier. Customer service is always very quick and resolves issues rapidly when they do arise. Its easy to navigate and the features keep changing and improving. Been very happy with the main platform. Date of experience: December 12, 2024",5
customer,US,"Jan 3, 2025Verified","Communication with your support people…Communication with your support people is at best challenging. I'm not sure they understand how the system works.Date of experience: January 03, 2025",2
Alecia Dolman,US,"Dec 26, 2024Verified","We more so had problems with communication and tech issuesWe more so had problems with communications/tech issues. Overall there was not that much of issues and it is a pretty cheap service for the amount of phones we had. Date of experience: December 17, 2024",3
customer,US,"Dec 18, 2024Verified","Problem we are still havingProblem we are still having, are the bot calls. The phone rings the ring central app does not. So, they are blocking incoming calls potential customers. It's not an actual call. Date of experience: December 14, 2024",3
TW,US,"Jan 1, 2025Verified","Reliable but expensiveReliable - but expensive. texting is our main thing but we get charged extra?Date of experience: December 31, 2024",4
customer,US,4 days agoVerified,"Easy and suits our needsEasy and suits our needs, but a ton of spam and robo calls. Probably 50 junk calls per real call.Date of experience: January 02, 2025",3
Stephanie Nelson,US,"Dec 25, 2024Verified","I was sold on a service, that has not been provided I was sold on the fact that we could Text internally and externally. It has been almost a year roughly 11 submissions for ""SMS Campaigns"" that were constantly denied, for the most ridiculous reasons. Even if they need all this specific criteria, maybe it should say 100% what is needed at the beginning and not deny for 1 thing each time. And now they change money to submit Campaigns and we still don't have external texting. It was hard for me to pitch and get buy in from my company to make the switch, but with the great things RingCentral claimed to offer it seemed great, now those things are still not in place/working. And the service is horrible if your out driving around (which are company has salesman that are out and about, I made our RingCentral rep very aware). To close this out, there call tree/set up is not very user friendly, I was hoping to have our receptionist be able to update as needed, if she goes on vacation or for holidays but she can't figure it out. Date of experience: December 18, 2024",1
Emtiaz,US,"Updated Dec 18, 2024","THE WORST CUSTOMER SUPPORT EVER…THE WORST CUSTOMER SUPPORT EVER RECEIVED.THE UNPROFESSIONAL BILLING REP STOPPED ANSWERING MY QUESTION WHILE I WAS WAITING IN THE LINE FOR HER REPLY!! IT SEEMS LIKE SHE DOES THE SAME TRICK WITH EVERYONE TO MAKE THE CUSTOMER HANG UP THE CALL BY THEMSELVES!!Date of experience: December 02, 2024",1
customer,US,4 days agoVerified,"struggles since the beginningstruggles since the beginning.  havent even used the platformDate of experience: January 09, 2025",2
Sahr Apo,US,"Dec 18, 2024","Disappointed After 7 Years – Found a Better VoIP OptionI’ve been using this company for over seven years, and I now realize it was a mistake. I recently found a better VoIP service that offers twice the features at half the price. It’s entirely my fault for not exploring other options sooner.Date of experience: December 18, 2024",1
San Diego Customer,US,"Dec 12, 2024","Fine-Print CheatersFine-Print Cheaters. They don't mention auto-renewal of 24 months. I had my service ported-over to another company because of Ring Central's dismal tech support and now they are asking for $1,619 in early termination fee. I asked if I could reduce the number of lines to 2 instead of 3 so I owe less money but they said No.When their Filipino technical team can't resolve an issue, they give you a fake fix and promise just so you hang up. You wait 24 hours to see if the problem goes away but it does not.Date of experience: December 11, 2024",1
Jesus Zaragoza,US,"Dec 5, 2024Verified","1)  The text billing is confusing1)  The text billing is confusing.  I will get messages indicating I'm overusing my allowance, something happens, and I keep texting.  Asked for an explanation of how to do this better and was given a confusing explanation on the phone.2) You increased the cost after a short time.3) Your call logs are on a delay.  I will click on ""Calls"" under the phone feature, and it will show MY phone number instead of the person who called me.  I usually have to wait a few minutes so I can see the actual # that called me.Date of experience: November 30, 2024",3
Re,US,"Dec 18, 2024","The absoulute worst!!!The absoulute worst!!!! Do NOT use this app unless you want the most disgraceful customer service of your life!!!    WOKE and will make you broke.They do not care about your business and they will not connect you to a manager. They do not know how to answer any questions and only pass the buck - disgusting company!!!Date of experience: December 01, 2024",1
customer,US,"Dec 8, 2024Verified","Want to cancel your service immediatelyI got charged 600+ dollars. I want to cancel that immediately. Your service is extremely bad. I’ve had it for many months now. Till now individual extension numbers could not be set up. While trying to call the US most of the numbers are unavailable because your number is shown as spam. I want to cancel it immediately.Date of experience: December 04, 2024",1
