Username,location,date,content,Rating
Darren Hudson,GB,"Dec 7, 2024","Mixed reviews on here made me courous…Mixed reviews on here made me courous about the website I'm from UK and my Samsung galaxy note 10 was locked to Vodafone I paid the one off fee £20 received email confirming payment and said it may take up to 8 days for the unlock code it took 4 days received the code and now it's unlocked 10/10 great real company Date of experience: December 03, 2024",5
tad551,CA,"Nov 25, 2024","Didn't work! No refund!My fault in not knowing that the iPhone was already unlocked! But the steps were followed and they didn't work. Maybe because it was already unlocked? Cellunlocker.net will not refund me as they said that ""In this case it did unlock as requested."" No, it did not unlock using your steps!Date of experience: November 24, 2024",1
Jose,US,"Nov 13, 2024","Unlocked Samsung S22 I wasn't sure at first. Read too many reviews about scams but after messaging back and forth with their customer service I decided to give them a chance. It took a while that I was having second thoughts but the code finally came in after 6 days and it worked without any problems. I will use them again in the future.Date of experience: November 11, 2024",4
Christopher,US,"Oct 19, 2024","I unlocked my Z Fold5 on the very first…I unlocked my Z Fold5 on the very first attempt from the AT&T carrier lock that was on it!! I have 2 more devices that I plan on using Cellunlocker.net to unlock from them as well!! I am a true believer now, man!! They actually did the job and did it in style!! Thank you, Cellunlocker.net... I'm a loyal customer now!!Date of experience: October 19, 2024",5
Mazama AWESSO,TG,"Oct 22, 2023","Network Unlock successfull for Samsung Z Flip 3J'ai commandé un code de déverrouillage réseau pour Galaxy Z Flip 3 bloqué par AT&T.J'ai reçu le code en 1 jour ouvré.Le code fonctionne a correctement fonctionné.Il suffisait de renseigner le MCK et ensuite le NCK.Date of experience: October 21, 2023",4
Gabriela,US,"Jul 3, 2024","Outstanding serviceOutstanding service. I have successfully unlocked 8 phones with cellunlocker. I'm the past their customer service and turn around time was not the greatest. However, recently their customer service and turn around times have improved drastically. Recently they were able to network unlock multiple Samsung s24 ultras on the AT&T network in 2 daysDate of experience: July 01, 2024",5
Rita Jackson,US,"Jun 18, 2024","I was nervous to try itI was nervous to try it, but don't regret it one bit. It took approximately 24hrs to have my Samsung galaxy fold 4 unlocked. Might would have been sooner, initially my bank locked my account until I verified I made the transaction, and that delay in responding was on me. Once I did it was very quick. Would recommend to anyone.Date of experience: June 17, 2024",5
Jordz,US,"Sep 29, 2024","It Helped Me Out So MuchIt helped me out so much! My phone was a gift from an ex's mom, and she had set my service up that was connected to hers. When we broke up, his mother turned it off and I had no way to even create another account because she also didn't finish paying it off. For the price it's so so so worth it. This website helped me out so much! Thank you!!Date of experience: June 10, 2024",5
Michel Simcox,GB,"Jun 3, 2024","WOW 1st time ok so it took a little…WOW 1st time ok so it took a little time for the code to come through for a HTC One on the old Orange network in the UK.But it worked and it was so easy, put the new sim in put the provided code in and Boom straight away.It's given an old but perfectly good phone another life  what a great way to be enviromentally friendly.Many thanks top job would recommend and use again.Date of experience: June 03, 2024",5
Ahmed Abdelgilil,MX,"May 23, 2024","Do not use them for 5g Galaxy phonesDo not use them for 5g Galaxy phones. Their remote unlock service is poor. They will ignore you for days them say they have technical difficulties. There service nowhere states remote seevice is needed either and they make you think you will receive an unlock code the next day, which is far from the truthDate of experience: May 22, 2024",1
