Username,location,date,content,Rating
Nancy C Jacobson,US,20 hours agoVerified,"Great, pleasant service fixing a mistakeI ordered a 12-pack of Honeybells for my brother in Tennessee right before Christmas. The shipment got there in time for Christmas, but in the crush of last minute orders like mine, they sent him grapefruits % naval oranges. When I learned that and called, the Hale Groves rep was very apologetic and said a 12-pack of Honeybells would be sent at no additional cost. True to their word, the 12-pack of Honeybells arrived at my brother's short time later.Date of experience: December 20, 2024",5
Mary Levine,US,17 hours agoVerified,"Life isn’t always roses or orangesIn lifeIn life, not everything goes perfectly, especially when your mail ordering. I had a problem with my friends, not getting their order. I cannot explain how much your service person went out of their way to Rite my friends, a letter explaining a difficult situation and taking full blame for the problem. All my friends got their order with a little extra and they didn’t need to be so gracious, but I certainly appreciated it and made my Christmas a fun one again thank you for how much she went out of your way to make a problem, rightDate of experience: December 27, 2024",5
Peggy Q.,US,2 days agoVerified,"Fresh fruit and delicious treatsHigh quality fruit that makes the perfect gift. A variety of assortments available within all price ranges. Gift recipients have mentioned how they enjoy the fresh and delicious taste of then goodies included in their gift. Easy to use website, helpful customer service. Thank you.Date of experience: December 20, 2024",5
Victoria Zazyczny,US,2 days agoVerified,"Honeybelles give sweet memoriesI send these to my brother & his family every year. They tell me they are very sweet! The honeybelles remind us of our parents who lived in Florida as senior citizens & educated us by taking us to the orchards when we visited.Date of experience: December 27, 2024",5
"Mazzucca, Patricia",US,2 days agoVerified,"Excellent Customer ServiceFor some reason (although it had never happened in 6 years of using Hale Groves for Christmas presents), my order was held up in the mail for 3 weeks. When it was received, I got a call from a Hale Groves representative alerting me to the situation and offering me a refund if I wanted, or to send out the packages as soon as they could be processed. I really appreciated being informed. The representative was very thoughtful.Date of experience: December 27, 2024",5
Catherine Balogh,US,2 days agoVerified,"Products are excellentProducts are excellent. Customer service is excellent, especially when trying to determine which fruit box best suited the recipient. The wording of the gift card was worded just as I requested. Hale Groves is my go-to company for fruit gift boxes.Date of experience: December 27, 2024",5
CAROLYN BAIER,US,16 hours agoVerified,"We love Hale’s and their productsWe love Hale’s and their products.  The only thing I would suggest is to add shipping charges into the cost of the product.  I get frustrated when I have to pay such high shipping costs.  I understand it but think it would make the customer feel better to pay more and get less shipping costs.Date of experience: December 27, 2024",5
Sandra Carter Smith,US,2 days agoVerified,"This was sent as a gift and the…This was sent as a gift and the recipients said the fruit was excellent, and that they'd order it themselves. First time ordering from Hale's and am pleased it was a hit. Great communication and accurate delivery...in time for when I needed delivery Date of experience: December 15, 2024",5
Deborah Melendez,US,3 days agoVerified,"Lovely Local BusinessLovely local business - excellent produce. So delicious! I've used Hale's for holiday gifts for a few years and they are always well received. I'm that auntie from Florida and use Hale's to send them sunshine. Date of experience: December 27, 2024",5
Michael,US,2 days agoVerified,"The representatives always are SUPER !…The representatives always are extremely helpful and always do their best to make the situation right!  When you order gifts, it is always nice to know that the Hales folks have your back!Date of experience: December 27, 2024",5
Tina D,US,4 days agoVerified,"I've been ordering from Hale Groves for…I've been ordering from Hale Groves for many years for myself, friends and family. For Christmas, I ordered the Christmas Stockings Gift Box which was delicious and included fruit, cookies and candy. I would definitely order this again!  It's comforting to order from a family owned company and getting great service and wonderful products!Date of experience: December 19, 2024",5
Amye A.,US,2 days agoVerified,"The baskets are beautifulThe baskets are beautiful. I send to family members and they love them. Customer service is always willing to help if there is any problem at all. So far I’ve ordered 4 years in a row and will continue.Date of experience: December 27, 2024",5
customer Lauren,US,16 hours agoVerified,"Rotten orangesTwice I’ve sent my cousin oranges for Christmas and half of them have been rotten. I can’t believe I actually spent another small fortune on your rotten fruit. Never again. I’ll be leaving this same review on Facebook.Date of experience: December 27, 2024",1
Dianne Pape,US,3 days agoVerified,"Fruit as a favorite gift!Delighted recipient...my friend in Massachusetts was so happy to receive her pears this winter! I learned that pears are actually her favorite. Thank you for making her holiday season even better!Date of experience: December 20, 2024",5
Suzanne,US,3 days agoVerified,"Couldn't be better!The products I purchased are excellent (in this case, mixed oranges) and were timely delivered as promised and expected.  Some were bought as gifts, but I also got to taste some delicious, juicy oranges.Date of experience: December 20, 2024",5
