Username,location,date,content,Rating
Mary,GB,"Jan 6, 2025","Sainsbury's is a good supermarket but…Sainsbury's is a good supermarket but their rewards vouchers are a joke, they are not in touch with ordinary people, how many pensioners can afford to spend £60 on one visit to save £9 not many I,m sure. Date of experience: January 06, 2025",3
Linda Round,GB,"Dec 28, 2024","Standard of stock in sainsburys kidderminster Shopping in sainsburys kidderminster today on the 27th December,i was shocked at the standard of vegetables. Rotten cabbages piled high so obviously only just stocked up.sprouts dried out and other vegetables looked old.shop looked very dirty and untidy.If staff have time to stand around chatting ,they have time to clean.I walked out without buying and will not be returning. Date of experience: December 27, 2024",1
Carole Rydeheard,GB,"Dec 27, 2024","Christmas Dinner Ruined We bought a Taste the Difference turkey crown for Christmas Day which was completely inedible and had to be thrown away. The suggested cooking time was over 2 hours but after 40 mins (in Lacanche oven which has perfect temperature control) it was at 74 degrees and incredibly dry despite butter, wine and lemon juice in the roasting tin. We tried the crown after resting and it was completely inedible; consistency of cardboard and no taste whatsoever. We have bought the same product two previous years and they have cooked perfectly so had clearly been frozen for a very long time. Christmas Dinner ruined Date of experience: December 25, 2024",1
Jeremy Hooper,GB,"Dec 28, 2024","FraudstersThey are advertising a meal deal 'Dine in for £12' and 'see advertising'.  No advertising anywhere.  I took a punt and bought a main, side and dessert.  No discount.When I eventually managed to find a staff member I was told, the deal includes a drink.I asked where the drinks in the offer were and was told, it's new we don't have them yet.They are advertising a deal they cannot fulfil!They are breaking the law!How does a big company get away with it?They should be fined tens of £thousandsDate of experience: December 28, 2024",1
Jon LastJON,GB,"Dec 25, 2024","Sainsbury’s Norfolk black turkeySainsbury’s Norfolk black turkeyWho ever came up with the cooking time needs to be sackedPacket said 3 hours, 4 hours 36 mins later at a higher temp (185)!for the last hour and it’s nearly up to temp.And before you say it every thing else cooks fine in my oven.This is always the problem with Sainsbury’s products.2022 spend £8,000 in Sainsbury’s this year £780. Lessons in How to lose your customers Date of experience: December 25, 2024",1
Ian Wooller,GB,"Dec 23, 2024","iTunes Gift CardsI am confused as to the policy regarding faulty iTunes Gift Cards. Rather than just replace the card they decided to get a number for Apple so they can give me the missing numbers. That makes no sense and needs to change.Date of experience: December 23, 2024",1
TC Mann,GB,"Dec 31, 2024","Never buy flowers at SainsburysNever buy flowers at Sainsburys. I bought a bunch of 16 lilies, 7 days later only 2 had opened and they were all dying!Date of experience: December 24, 2024",1
Galina St George,GB,"Dec 2, 2024","Disappointing online shopping experienceI ordered some groceries online. I ordered milk as part of it, which, according to the driver, exploded and spilled all over the shopping. The meat tray (cardboard) got soaking wet and the steak turned grey. I ordered 4 packs of Warburtons potato cakes and they sent me 2 packs of a more expensive variety which I don't even like. I complained, and they issued a voucher instead of a refund. After the abysmal experience, I am not even going to use online shopping with Sainsbury anymore. A cherry on the cake: they issued a £4 voucher for the cakes when I complained and then replaaced it with a £2 one today - I guess as a difference between what I ordered and what they sent - and no apology for the messed up delivery! I won't be ordering from Sainsbury's again. Date of experience: December 01, 2024",1
MAA & LSB - Potty Pilots ;),GB,"Updated Dec 21, 2024","WARNING TO DISABLED: Sainsburys do NOT comply with the Equality Act 2010Disabled? Rely on supermarket home deliveries? Supermarkets MUST legally prioritize deliveries for disabled customers but Sainsburys do not.I am badly disabled and can not collect groceries, so the Equality Act 2010 applies and you are in breach of it.-- My order #987723882 was NOT delivered, yet you took my money anyway.I demand my damn groceries TODAY or else I will file a civil process against you under the Equality Act 2010I can NOT go to stores and am reliant on home deliveriesI tried to book another slot for the same items but there are none available.I was forced to choose a click and collect in two days time (Order number: #1114692425) BUT that does not help me today and I would have to pay a taxi to collect for meRESOLUTION SOUGHTDeliver my order #987723882 TODAY, as early as possibleHave your branch manager come to my home and apologize personallyCancel and refund Order number: #1114692425Pay compensation for thisElse, I will sue you.DO NOT CALL ME - I AM MUTEIn disgustUPDATESainsbury's claimed the order was delivered until I told them I had CCTV that would prove it was not. Then they admitted it was not delivered>THIEVES AND LIARS - I want compensation and staff suspended pending afull investigationUPDATEI finally got my order which had been left on the delivery van overnight so that all the frozen goods defrosted. I offered to provide footage from my CCTV taht proved they had not attempted delivery. In the end I accept £100 compensation from Sainsbury (I wanted more but am too ill to go to court).I\f you are disabled or help the disabled, I really recommend that you get home deliveries from another supermarket (Tesco DO prioritize disabled customer deliveries - you must advise them though, of course).Date of experience: December 17, 2024",1
Ztephen,GB,"Oct 27, 2024","A change for the worseSainsbury’s is absolutely hopeless Their app has been altered to need an Update, before it can be used further.Unfortunately, if you are using certain iPhone devices, and have no wifi, the update can’t be performed.Sainsbury’s have also changed their Website systems, so the relevant pages refuse to load.Therefore, to all intents and purposes, Sainsbury’s are “Out of the running” as a useable online supermarket.Date of experience: October 27, 2024",1
