Username,location,date,content,Rating
Caroline,US,2 days ago,"Poor communication, no accountabilityThere doesn't seem to be much respect for customers at this company. It took three weeks for them to ship my order, in disregard to the ""2-3 business days maximum"" turnaround time that they indicate on their website. My emails to check on the order status went unanswered for 10 days, nor did they answer the phone when I called. They finally responded to my 4th message with an excuse that my email went to spam.The shipment arrived with one item missing and a note saying it was backordered, though they hadn't mentioned that in the email and the order status page showed both items had been delivered. There was also no estimated timeline for the backordered item. Since I had no trust left, I canceled the remaining item.My purchase was meant to be a birthday gift, so I'm disappointed to have let down my friend.Date of experience: December 18, 2024",1
Maria Kraft,US,6 days agoVerified,"Have not received this package and I…Have not received this package and I ordered it on December 24th!Date of experience: December 31, 2024",1
Amie Bliman,US,"Nov 1, 2024Verified","This nut butter the absolute best that…This nut butter the absolute best that I’ve ever had. I don’t think I can ever eat another after trying this. The cardamom and the salted caramel are amazing! Date of experience: October 25, 2024",5
Roni Hanna,US,"Jun 27, 2023Verified","Everything is GreatIt's Organic,Sprouted,PrettyLocal to California,Fast Proper Delivery Excellent Quality.My Favorite to Nosh on is The Naked Crunchy.And I absolutely love the naked smooth. It makes the most wonderful Almond milk.I  also love using it instead of  oil or butter in  my baked goods YUM!!!!.PS it's worth the price for healthy clean eating.Better then any store purchase.Date of experience: June 12, 2023",5
customer,US,"Aug 8, 2024Verified","Delicious and creamyThese nut butter are delicious and so creamy with interesting flavor profiles.  I'm going to enjoy figuring out ways to use them other than swiped on a graham cracker.  But just that is very good.Date of experience: July 25, 2024",5
Erin,US,"Jun 20, 2023Verified","Too good...send helpI purchased the no-added-sugar cinnamon maca and cashew cardamom butters. I am *devouring* them, trying to preserve them for longer but there is no hope. They're just too delicious. They are perfectly flavorful, smooth, and subtly sweet from the almonds and spices, no need for coconut sugar (although the regular JEM is delicious too but more like a healthy frosting in my opinion). You will love this paired with fruit in all forms, or just eaten by itself.Date of experience: June 05, 2023",5
Karl L,US,"Nov 1, 2024Verified","Love this company and their products…Love this company and their great products.  Always excellent quality, taste and delivery.  Thanks so much for all you do to get us healthy quality products!Date of experience: October 25, 2024",5
Krista Anderson-Ross,US,"Dec 6, 2022Verified","Give Jem instead of wine!We always give Jem nut butters as special gifts, they have replaced a bottle of wine for us. They’re great thank you gifts, fit into  holiday stockings, and make great gifts for holiday hosts. Always an appreciated gift - many converts made!Date of experience: December 05, 2022",5
Meagan,US,"Apr 19, 2023Verified","LegendaryMy taste buds thank the Oregonian legend who created and selflessly shared this recipe with the world. My wallet is salty about the price. Promo codes are useless on the larger quantities. All that being said, I will undoubtedly be a semi-regular customer on a splurge basis bc no other nut butter compares to the flavor and quality ingredients. 🙌Date of experience: April 11, 2023",5
Valerie Jarvis,US,"Dec 12, 2023Verified","JEM Organics has the healthy & tasty almond butterJEM Organics has the healthiest (sprouted almonds & organic) and best tasting almond butter that I have ever tasted!!!  I tried lots of brands over the years but this is the best! If you are undecided which nut butter to get I would get the sampler pack - they are all good so far I haven't finished it yet.Date of experience: November 27, 2023",5
Narae Talbott,US,6 days agoVerified,"Didn't received the productDidn't received the product. Nothing. No customer service response.Date of experience: December 26, 2024",1
Chanda,US,"Jul 11, 2022Verified","Best Nut Butter I've Tried!The is not only the only sprouted nut butter I found on the market but it is the best. I discovered JEM Organics in my local NYC health food store and now it has become my only go to for highest nutritional content found in a nut butter and it tastes amazing. I have it on it's own or with medjool dates for a healthier version of a snickers bar type of snack.Date of experience: July 11, 2022",5
Lani Morris,US,"Aug 2, 2024Verified","Beyond Blissful The most insanely delicious nut butters I’ve ever tasted. Beyond blissful! I can’t wait to try all the flavors. It’s the perfect thing if you want a decadent treat that’s not too sweet. All you need is a spoonful, but beware… you will NOT be able to stop at just one. So grateful for this healthy treat. Date of experience: July 26, 2024",5
M. M. Al,QA,"Nov 3, 2023Verified","The Best Nut Butter everThe Best Nut Butter ever! I have been ordering JEM for the pas few years, and I can’t get enough. All flavours are amazing, but my favourite is Salted Caramel. Most importantly, I was attracted to the products due to its clean ingredients.Date of experience: October 27, 2023",5
Barbara M Bonardi,US,"Aug 5, 2023Verified","Fantastic On Overnight OatmealThere was a problem with Jem’s automated response to things left in the shopping cart, which totally confused me. I thought maybe I didn’t complete the billing, however my cc was charged twice for both orders. And it took a while to get the Jem, so I wasn’t sure. I contacted your office who informed me all was okay. Now, for the product, Jem’s fantastic, especially on our overnight oatmeal.Date of experience: July 27, 2023",5
