Username,location,date,content,Rating
Kenneth o.,US,5 days agoVerified,"Reliable as always Reliable as always .  I can always count on Bolt Depot to fill my order accurately and in a timely manner .  They fulfill small orders with the same diligence as larger orders .  .... that's why I have been using their services for years .Date of experience: January 01, 2025",5
Todd Krueger,US,6 days agoVerified,"Great turn around time We started buying a lot of bolts this past year. It’s always very easy to order. I’ve been very happy. I almost always get a email the afternoon that I’ve ordered saying it’s already shipped. Last week I needed something overnighted with only 30 minutes left in the day I had placed an order. It was a holiday. I had to cancel within 15 minutes because I was given the wrong item from our guys. I was able to cancel and have a new order shipped very quickly. I’ve been very happy with how quickly we can get things turned around from you guys. Thanks.Date of experience: December 31, 2024",5
M&K Enterprises ,US,"Jan 5, 2025Verified","No minimum order..timely shipping and…No minimum order..timely shipping and good pricing for an odd metric nut that was hard to find through my usual sources... next time, I'll check Bolt Depot first! You have my business!Date of experience: December 28, 2024",5
Robert Kroshefsky,US,"Jan 2, 2025Verified","Efficient and quickI absolutely love being able to find all my fastener needs - and then some - in one place.  And the prices beat the heck out of running to a big box store or local hardware store (if they even have want I want in stock).  I just have to plan ahead for my various projects.My orders have been picked, packed and shipped within a day and arrived safely at my home.Date of experience: December 25, 2024",5
gary sansone,US,"Updated Dec 31, 2024Verified","Slow to shipSmall order placed 12/23/2024 and didn't ship until 12/26/2024. Website claimed business open half day 12/24/2024 so expected order to ship but it did not. *Edit: Bolt Depot website listed the order as ""shipped"" on 12/26/2024Date of experience: December 23, 2024",3
Adam Nichols,US,"Jan 1, 2025Verified","Helped my project succeedBolt Depot is amazing and helped my project succeed. Friends and family have heard about my great enthusiasm for them and politely smiled & nodded.Date of experience: December 25, 2024",5
Stan Ray,US,"Dec 28, 2024Verified","Great Customer Service Once again Bolt fulfilled my small order exactly and shipped to me promptly so I could finish this job. And, they did this on Christmas week!! They live their Customer Service, a prime reason purchasers will come back repeatedly. Date of experience: December 20, 2024",5
Tom Sunyak,US,20 hours agoVerified,"Great selection and quick serviceGreat selection and quick service. Individual selections are packaged and labeled clearly Date of experience: January 04, 2025",5
D Harrison,US,"Dec 28, 2024Verified","Good Stainless Steel productsOrdering assortment of stainless steel fasteners, included slotted screws.  Bolt Depot has a wide range of products and delivers quickly and correctly. Date of experience: December 20, 2024",5
Darrel Gordon,US,"Dec 12, 2024Verified","Navigating the web site is really easyNavigating the web site is really easy. I can find what I am looking for quickly. The pictures are helpful. Documentation of an item ensures the buyer knows what he is getting.One of the better web sites I've navigated!Date of experience: December 05, 2024",5
"Faster Better Easier, LLC",US,"Dec 19, 2024Verified","Excellent service and productsEvery order I have placed has come complete without any issue.  A return I had to make was also done easily with no problem at all.  Date of experience: December 12, 2024",5
Mark,US,"Nov 6, 2024Verified","Phenomenal customer service I had a bunch of bolts I needed replacing and I was concerned about finding an exact match.  Bolt depot let me send them a sample to get an exact match and shipped me two samples back free of charge to make sure we got it exactly right.  The samples came in individually labeled bags with QR codes linking me to their site to make sure I ordered the perfect product.  Everyone I talked to there was absolutely wonderful.  And the shipping once I placed the order was extremely fast!  Date of experience: October 30, 2024",5
Jared Hedrick,US,"Nov 22, 2024Verified","One of My Best Online Ordering Experiences!Bolt Depot provided one of the best online ordering experiences I've ever had! Their website is easy to use--I especially like the selection and filtering options--and their inventory is extensive! I appreciate the option to purchase as few or as many individual items as might be needed--or larger quantities in bags for a better value. If that wasn't enough, the order arrived early and the shipping cost was very reasonable. The machine screws I ordered for my Ameritron AL-811H radio amplifier were a perfect match--exactly what I had hoped for! Thank you, Bolt Depot team! You are awesome!Date of experience: November 15, 2024",5
Don,US,"Dec 26, 2024Verified","I got what I wantedI got what I wanted, when I wanted it without having to deal with traffic, parking and bad weather. Date of experience: December 19, 2024",5
Phillip Huddleston,US,"Nov 3, 2024Verified","Inexpensive and fairly fast deliveryInexpensive and fairly fast delivery. If you want it tomorrow or the day after you are better off with McMaster-Carr but if you can wait a week or so Bolt Depot will save you a lot of money. Good quality hardware as expected. Date of experience: October 27, 2024",5
Curt Brocklesby,US,"Dec 17, 2024Verified","The materials were easy to navigate…The materials were easy to navigate through and then purchase.  I received the materials a little quicker than expected with everything correct on the order and for a very reasonable price.Date of experience: December 10, 2024",5
