Username,location,date,content,Rating
Good Game,US,"Aug 18, 2024","I do not understand why this company is…I do not understand why this company is in business and why these internet services allow them to push their product on their platform I ordered a photo and never received it never any confirmation or anything this is a complete scam and I'm going to push to make sure that they can never do this to anyone else.Date of experience: August 18, 2024",1
Nicole Rowlett Nicatnite,US,"May 16, 2022","I ordered dessert stands several months…I ordered dessert stands several months ago and still have not received my shipment. I have tried calling customer support over 20 times and emailed various times as well with absolutely no answer or response. I have purchased their items before through Amazon and never had a problem so I thought I could order from their website and it seems like they are not legit. Not sure what to do. I just want my 100 dollars back.Date of experience: May 16, 2022",1
Daisy Fuentes,US,"May 10, 2022Verified","I ordered dessert stands over a month…I ordered dessert stands over a month ago and still have not received my shipment. I have tried calling customer support over 15 time and emailed various times aswell with absolutely no answer or responseDate of experience: May 10, 2022",1
Diana Mohl ,US,"Apr 5, 2022Verified","It’s been like 15 days and my order is…It’s been like 15 days and my order is not showing any movement on the tracking number . I called costumer service and they said they were going to talk to the warehouse and see if they had the item or not, they also said they were going to let me know the same day or next day morning. It’s been a week and I haven’t heard from them. My wedding is coming soon and I need this item as soon as possible .Date of experience: April 05, 2022",1
Tammy Horstead,US,"Aug 10, 2021Verified","Wonderful customer service & great productsI ordered some gold cupcake and cake stands. The products arrived packaged very well.  I did experience some problems with FedEX delivery and I contacted Amalfi Decor support.  This company was really fast with their response!  I was impressed!  Once I received my stands, they looked wonderful!  I will definitely do more business with this company in the future!Date of experience: August 10, 2021",5
Elaine Grimes,US,"Jan 12, 2022Verified","The chandelier received is of excellent…The chandelier received is of excellent quality!! Shipping was fast, product better than expected, and truly the pictures don’t give the true essence of its beauty! I had to contact customer service because I changed my mind and wanted the 5 light versus 4 light and even that process was flawless!! I will definitely purchase other products!Date of experience: January 12, 2022",5
Angela M,US,"Oct 15, 2020Verified","Beautiful! ... know your ""gold"" :)Beautiful!  Exactly as the pictures.I did learn (by confused experience) that ""gold"" (in general .... everywhere, every company) is more like the Crayola crayon gold ... kind of what I would describe as brassy or antique; all companies are consistent with one another. This is ""gold"", and the bright shiny yellow-gold is called ""chrome gold"".  Both are beautiful, but it if matters to you ... now you know... and so do I.Date of experience: October 15, 2020",5
SandyQ,US,"Oct 8, 2020Verified","Exceptional Products and Service - AmalfiI could not be happier with the two chandeliers I purchased from Amalfi.  It's difficult to find ""classic"" designs, and after searching all of the ""usual"" home improvement stores, lighting stores, and home decor sites, I finally found Amalfi.  The lights arrived in perfect condition - very carefully and secruely packed.  They were very easy to install and look great. I had a question about installation, sent an e-mail, and it was answered within minutes!  I cannot wait for my next redecorating project.  I will certainly visit Amalfi again.  Thanks!!Date of experience: October 08, 2020",5
Sharon,US,"Oct 20, 2020Verified","I wanted a small crystal chandelier…I wanted a small crystal chandelier with a gold finish which I found at Amalfi Decor for a very reasonable price.  The item was received in a very short time and was well packaged.  The chandelier is absolutely beautiful.  More so than the photographs.  The light was of very good quality and the gold is beautiful doesn't look cheap at all.  Instructions were clear and easy to read.  I am extremely pleased with my first purchase and will continue to patronize Amalfi Decor for future purchases.Date of experience: October 20, 2020",5
Chelsea,US,"Jan 19, 2021Verified","Beautiful Chandelier, Confusion about Silver WireEverything went great with putting the chandelier up and arriving in one piece. The only part that we are lost on still and was not clear in the swag installation instructions is what to do with what I think might be the silver ground wire coming from the top. Weary to cut it off but from trying to interpret the hard wire instructions I think it would be safe to do so. We had some trouble getting the wing to open in the ceiling but that was more an issue of not being familiar with the inner working and thickness of drywall for my apartment building. Amalfi provided all of the hardware required to put it up. Shining brightly and beautiful! Now to just figure out the silver wire :)Date of experience: January 19, 2021",5
