Username,location,date,content,Rating
SAM BALLINGTON,GB,A day ago,"BUYERS BEWARE! Ordered on the 26th December. Stuck in customs since the 2nd Jan. Contacted Synoshi multiple times in which I am told to ‘be patient’, rest-assured it’s normal’ and… ‘you can contact the courier’!! I requested a replacement and yet again met with above so now asked for a refund, also reminding the company it’s their job to contact the delivery company and ensure that their expensive products reach their customers. Buyers beware- expensive product with required upsells- which you probably won’t receive, and you’ll be left with the brunt of awful customer service who want you to do their job for them! Date of experience: January 12, 2025",1
Christina V,AU,3 days ago,"This is a great device for cleaning…This is a great device for cleaning your kitchen and bathroom sinks and also shower area. Makes then job significantly easier. Date of experience: May 11, 2024",5
Patricia,CA,6 days ago,"Shipping ChargeI’ve purchased several Synoshi’s and brushes and I’m still being charged for shipping.  My cleaning lady loves using it so it has turned out to be an ideal present. So, I rated my experience a 4 because of the shipping charge.  Date of experience: January 07, 2025",4
Alan Bradshaw,GB,"Jan 6, 2025","This transaction appeared simple - but ——-This transaction appeared simple enough to begin with until I was clattered with add ons after giving my payment details. This is not honest dealing.Date of experience: January 06, 2025",4
Jenelle Fell,AU,4 days ago,"It was ok didn’t really appreciate the…It was ok didn’t really appreciate the up sale part all attachments should come with the purchase and an option to buy multiple packs before you check out Date of experience: January 09, 2025",3
Edward ,GB,"Jan 2, 2025","Far too many ""Hard Sell"" follow-upsLooks like a good product but I haven't got round to using it yet. However, I'm extremely irritated by the constant emails and even phone calls trying to convince.me to buy a wide range of extra utensils. When I purchased the basic model the add suggested it was really good at everything. Now it transpires that I need to spend a very large amount to buy a very wide range of extras which I was completely unaware of. I wouldn't have bought the appliance if I'd realised this in the first place.Date of experience: December 20, 2024",1
Liz,AU,"Updated Dec 24, 2024","Usefull productEase of ordering the product. Short time involved from purchase to delivery. Received well packaged with little likelihood of damage in transit.I used the brush head to clean my shower & it saved my arm from fatigue when using a cloth or standard brush.I also suggest that an extension handle be an accessory for those that find reaching up/down difficult ie. Shower recess base & walls.Date of experience: December 22, 2024",4
Gueorgui Gigov,GB,4 days ago,"I bought two of these on 14/11/2024 and…I bought two of these on 14/11/2024 and received them on 23/11/2024. By 22/12/2024, when I found time to sit down and write an email, one of the brushes had 13 serious cracks in the casing. One is already letting the brush hairs come off. The contact email explained the issue, and I attached photos as proof. Two and a half weeks later (8 working days in the UK around the Christmas and NY holidays) I received an email asking me if I still needed assistance. When I replied with ""Yes"" they asked me to describe the issue and send photos, again. I did. The reply was that the brushes were not covered by warranty and, a quote, ""Depending on use, the brush heads may become damaged over time"". From product receipt to the time my missus noticed the cracks - about 3 weeks. She used the brush head twice. It did its job well though. They offered us a discount on a new brush head. Funny.£35.90 with a permanent discount of 50% on the website. How much discount can you offer for a brush head for 3 weeks, 2 uses? Thank you!Date of experience: December 22, 2024",1
Donna Wheelahan,US,"Jan 5, 2025","Poor customer service with defective product I've tried several times to return a defective device. I had to take pictures, make a video of it not working?then email this off.Still no reply after several requests made. Date of experience: June 25, 2024",1
CORRINA DUGDALE,GB,"Dec 31, 2024","Everyone needs this.I use the Synoshi at home & work - domestic cleaning.  I like the quiet feature too.  I cleaned an oven grill at work & took the pressure off my hands & wrists.  So I’m glad I made this purchase.  I love my cleaning job & if this makes my life easier I carry on for longer.Date of experience: December 31, 2024",5
Gregory Mueller,US,"Dec 27, 2024","Need to pay extra to get all the partsAfter reading the reviews, I ordered one of the precious. During the purchase process, I found I had to pay extra to get one of each of them attachments.Adding everything to the purchase significantly increases the price. I hope the quality and durability works out as advertised.Date of experience: December 27, 2024",4
Aneta Woytkowiak,CH,"Jan 3, 2025","great shop and the cleaner as wellgreat shop and cleaner! but the order is really complicated, why all this propositions? I only want order 1 product but need about 6 steps to complete it.Date of experience: January 03, 2025",4
Peter,AU,"Jan 5, 2025","Good price but getting a little pushy…Good price but getting a little pushy with the extras. Beginning to loose faith now. Will see when the product arrives. I'll be happy to give a better review then.Date of experience: January 05, 2025",4
Ronald & Mary Smith,AU,"Dec 29, 2024","Merchandise was excellentMerchandise was excellent. Information provided was great but constantly trying to get us to buy more attachments before we have even got round to using the equipment was not good.Date of experience: December 21, 2024",5
Sherry Jurban Fox,US,"Jan 1, 2025","Ordering process is easyOrdering process is easy.  It would be nice to see a running order total when additional brushes are added to the order.Date of experience: January 01, 2025",5
SANDRA G,US,"Jan 3, 2025","It was extra easy to order  the brush…It was extra easy to order  the brush electric cleaner. Discounted price made it possible for me to afford.Date of experience: January 02, 2025",5
Zhenqi,US,"Jan 5, 2025","An innovative cleaning productThis product is truly innovative! It helps me clean my space quickly and efficiently!Date of experience: January 05, 2025",5
Carrie,US,"Dec 18, 2024","It looks like a great productIt looks like a great product! I am in my late 70’s and hand scrubbing is becoming difficult as my eyesight is failing , and this tool looks like it will cover all the areas I would miss using just a hand powered scrubber . I like the way the product is advertised with the individual pieces added only by personal choice ! Can’t wait to try it !Date of experience: December 18, 2024",5
amir tsioni,IL,A day ago,"the web service is very convenientDate of experience: January 12, 2025",5
Ruben Garcia,US,7 days ago,"we used the Synoshi scrubber on a burned panwe used the Synoshi scrubber on a burned pan with excellent resultsDate of experience: January 04, 2025",5
Jared Caires,US,18 hours ago,"Ordered it a month agoOrdered it a month ago. Still haven’t received it. Called twice. Both times told it’s in transit. Should get there soon. Date of experience: January 12, 2025",1
Mary Ann Wheeler,US,2 days ago,"Efficiency Good price.efficient ,effective.annd with good reviewsDate of experience: January 11, 2025",4
Renee Reynolds,US,6 days ago,"Love this website!The website is easy to maneuver and shows all objects for sale very clearly.Date of experience: January 07, 2025",5
Peter W,US,"Dec 16, 2024","The perfect gift for our beautiful new kitchenEverything was easy to order, and I might get it in time for Christmas. This gift is for an older family member. In fhe world of motorized brushes I could only find two that are smal, compact (without an extended handle).It also hqs to be easy to hold. Out of the two comparable products, fhe Synoshiis clarely the more affordable spin brush. It rocks, and like me if you have a reputation for giving awesome gifts, you can;t do wrong with this one.Date of experience: December 16, 2024",5
Christine Smith,GB,5 days ago,"Not 5 because I got tired of the…Not 5 because I got tired of the constant push to add more to my orderDate of experience: January 09, 2025",4
Anna Doporto,IE,"Dec 25, 2024","A great product I am disabled and my synoshi has made cleaning so much easier. I'm getting one for my daughter. Highly recommended. Date of experience: December 21, 2024",5
Miss Susan Tombs,GB,"Jan 1, 2025","All worked wellAll worked well - constant offers were a bit irritating but can understand why it is doneDate of experience: January 01, 2025",4
peter,GB,"Dec 22, 2024","Your offers of extra brush heads should…Your offers of extra brush heads should be made before the main part is paid for, it would make it clearer as to how much you want to payDate of experience: December 22, 2024",4
Leena Dixon,AU,"Dec 17, 2024","Ease of ordering . Shopping was extremely easy without overwhelming repetitious explanation of the virtues of your product .  It would be wise to cut out many of the add-ons after the purchase , perhaps present them earlier .Date of experience: December 17, 2024",5
Anthony Coorey,NZ,"Jan 6, 2025","making the right choiceIt was easy to follow your instructions to make the right choiceDate of experience: January 06, 2025",5
Kathy Maier,US,"Dec 18, 2024","I have used my new Synoshi and I am…I have used my new Synoshi and I am very satisfied with the cleaning power it has. I started with my 20 year old toaster oven and with one cleaning most of the baked on grease was literally gone!! I'm so impressed with it I bought one for my daughter and I know she'll love it too! Thank youDate of experience: December 14, 2024",5
Fay Mcgregor,NZ,3 days ago,"I will be happy if this order reaches…I will be happy if this order reaches me this is the second orderDate of experience: January 10, 2025",4
Robert Allen,US,"Dec 15, 2024","Easy to order but don’t like going…Easy to order but don’t like going through all those added sales items. Should offer them when you are selecting the Synoshi and then add what you wanted.Date of experience: December 15, 2024",5
John Stewart,AU,"Jan 3, 2025","Internet Purchase Easy to use the internet site for selecting the item/s 8Date of experience: January 01, 2025",5
peter griffin,GB,"Dec 27, 2024","Really prompt despatching of orderReally prompt delivery, however it seems they are not so easy to contact after placing the order.Date of experience: December 27, 2024",4
