Username,location,date,content,Rating
Sarah  Cote,CA,3 days ago,"Great value, great product, amazing service The entire process was very easy and the product quality is amazing for the price. Very happy with my purchase. The customer support is also amazing. They forgot to send my second pair of glasses and sent them with no hesitation. Everything arrived within a few business days. 10/10 would recommend Date of experience: January 10, 2025",5
Amanda Yoh Klingenberger,US,6 days ago,"Great pricing until you go to check out…Great pricing until you go to check out and they add $160 processing fee. This is the pop-up ""Dear valued customers,In recent times, we’ve noticed a trend among our competitors, who are displaying extremely low upfront prices online to appear more competitive. Despite our initial reluctance, we’ve needed to adopt this practice at OptiContacts.com due to the impact it had on our traffic and orders, despite our competitive pricing.We want to assure you that OptiContacts.com remains committed to offering the most competitive prices online. Your savings and satisfaction are paramount to us. We invite you to compare our bottom line prices with those of our competitors, confident that we’ll continue to exceed your expectations.Your continued support means everything to us.Warm regards,OptiContacts.com Team""Not a single online provider does this so I'm not sure what ""trend"" they think others are following but I call BS. Complete bait and switch. Date of experience: January 07, 2025",2
Ranzie,US,2 days ago,"Customer Service 2nd to none. Awesome experienceI can not say how very pleased I am with Opticontacts.  This was my 2nd order with them since my 14 year daughter started wearing contacts a few months ago.   My daughter had a special event for this weekend. We had been asking her about her contacts and she kept telling us she had plenty.   Well Sunday night 5 days before the event she tells us she only has 2 of the left eye/RX  none for the right.  We immediately placed an order, and requested that whatever upgrades could be done we would pay.    They responded first thing Monday morning that they would upgrade and get them out ASAP.   Then that afternoon I got a message saying they had to order out for the contacts and I knew then they weren't going to make it.  Well around lunch time Tuesday, I get an email saying your order has shipped and is coming 2 day FEDEX.  We had the contacts on Thursday afternoon.  Unfortunately her event was cancelled as a result of the winter storm in the south, but just the fact that they did all of this to ensure we had what we needed.   This type of customer service exist slim to none these days.   They have made me a long term customer. I am just so pleased with them.   Date of experience: January 01, 2025",5
Sandra Zalik,US,"Jan 4, 2025","Francis was so helpful and…Francis was so helpful and knowledgeable and was able to resolve my issue quickly and without any stress - even though my problem was MY fault due to incorrect selection of my prescription.  Give that man a raise.  Great customer service seems so hard to find these days, so when you find it, it is even more greatly appreciated.  Thanks also go to Opticontacts for their generosity in replacing my entire order.Date of experience: January 04, 2025",5
Christi McLin,US,"Jan 4, 2025","Better prices than anywhere elseThey matched my price from previous order(from 2019). Their contacts are a lot cheaper than 1-800 contacts. I use Bausch and Lomb Ultra contacts. I paid $27 per box, whereas at 1-800 contacts it would have been $40 per box. Shipping was also fast. Even though they charge a processing fee, with the special pricing they have, they were still cheaper than anywhere else.            Date of experience: December 19, 2024",5
Michael Cahill,US,"Jan 4, 2025","I had a problem with an OrderI had a problem with an Order. Ultimately it was My fault, I to entered a wrong character on the order form and then reordered from That wrong order.The Customer Service I recieved was beyond expectation. My service rep (Dennis) was very professional & very easy to understand. Not only did he get the order information corrected he expidited the order and fixed my keystroke mistakes in my order to prevent mishaps from happening in the future .I Highly recomend useing opticontacts. Other companies could Learn a thing or two from how this customer service dept operates.Date of experience: January 04, 2025",5
Customer,US,7 days ago,"Great servicePlaced order today and realized afterwards I ordered wrong lenses, called and Emma was wonderful helping me virtectDate of experience: January 06, 2025",5
Celeste,US,"Dec 24, 2024","Customer service is very responsiveCustomer service is very responsive, helpful and polite. I got a great deal on the contacts I ordered and they shipped super fast. The contacts have very good expiration dates. I am a very happy customer. My only criticism is the handling fee they add at the end of check out. The price you first see is not the price you are actually going to pay. Regardless, I am still happy with the price I paid in comparison to what other places are selling the contacts for. I would have no problem ordering from this company again in the future if they continue to beat out their competition in prices. Thank you opticontacts! Date of experience: December 07, 2024",5
Monique Terrazas-Reaves,US,"Dec 28, 2024","Recommend OptiContacts above any other…Recommend OptiContacts above any other place for your glasses and/or contact needs. Order my daughter’s contacts here and I’ve always received great, fast customer service. Date of experience: December 20, 2024",5
Yvette Williams,US,4 days ago,"Frances is exemplary of an excellent…Frances is exemplary of an excellent customer service representative. He was extremely knowledgeable with the products, fast and patient.Date of experience: January 09, 2025",5
Agatha W,US,"Dec 19, 2024","I’m so fortunate to have ordered thru…I’m so fortunate to have ordered thru Opticontacts.com. First it was very quick ordering process & great price. Secondly, the contacts was sent to an old address on my PayPal account & luckily I had a great representative who assisted in replacing the order. I’m so grateful for them to do this. I will definitely be a loyal customer because they could have easily said no. Not many companies left that have morals and high standards. A+ for customer service! Date of experience: December 19, 2024",5
Kate,US,"Nov 28, 2024","Price Increases Are UnreasonableI have ordered the same contacts from OptiContacts for the last two years. Here's the all in price history for an annual supply of daily 1 lenses: 2022=$555.01, 2023=$593.78 (a 6.5% increase), 2024=$775.96 (a 31% increase, includes black Friday pricing and a $20 gift voucher). This type of increase is uncalled for. I shopped around and found the same contacts at a competitor for a total of $640. Am not likely to check OptiContacts in the future after this experience.Date of experience: November 28, 2024",1
Geebz,US,"Dec 5, 2024","Great Customer ServiceThe glasses I ordered didn’t sit properly on my face and I needed to change the frames for a better fit. When I called customer service, James was extremely helpful (ref#18642405) in fixing the problem. I found him to be very knowledgeable and patient in assessing what size and shape would be best. Choosing frames online can be tricky and I appreciate how much easier and more efficient James made the whole process.Date of experience: December 03, 2024",5
Mary Bradford,US,"Dec 3, 2024","Top Tier Customer Service Contacts are expensive no matter where you shop now so at least this can be a little break here and there. The 5 stars though is for the excellent customer service. It's so few and far between you interact with customer service and don't leave even more frustrated. Service with Opticontacts is efficien, kind and relieving. And that is priceless. Date of experience: November 21, 2024",5
Diane Grayber,US,"Dec 12, 2024","Incredible customer service!Tommy was so helpful!  My prescription was changed in both eyes so I needed to return 2 boxes of contacts and order 2 new boxes of the new prescription. I had tried to place an order earlier and the charge was much higher than I expected. Tommy straightened out the order, gave me a sizable discount, and explained how to return the unopened boxes. Very much appreciated!  This is a great company to work with!Date of experience: December 11, 2024",5
brad wattenberg,US,"Dec 19, 2024","Thanks Tommy!Tommy was extremely helpful. My order wouldn't go through but Tommy was able to place the order and get everything verified manually. He made the process painless for me. Thank you Tommy!Reference #18685448. Date of experience: December 19, 2024",5
Shakira Nicholas,US,"Dec 2, 2024","Always a quick & easy transition when…Always a quick & easy transition when dealing with opti contacts, a wide variety of products to choose from, as well as great deals. I especially want to shout them out for assisting me with some incorrect prescription, I provided to them. They reached out and worked with me to make sure I got my contacts, I was very pleased with overall service!Date of experience: December 02, 2024",5
MMP,US,"Dec 3, 2024","Great customer service!!!!I just got off the phone with your representative James and I was very impressed in how he resolved my situation. He was able to give me a lower price (instead of a price match from another company) and also offer me free shipping!!! He was pleasant, and eager to assist and he exceeded my expectations with my issue. Thank you James and Opticontacts!Date of experience: December 03, 2024",5
Benny Tran,US,"Dec 24, 2024","Scammy as hellScammy as hell. Prices for contacts are cheap but charged $195 for a handling fee after submittingDate of experience: December 23, 2024",1
Karin,US,"Nov 27, 2024","I shopped around for contact lenses and…I shopped around for contact lenses and OptiContacts was by far the least expensive company to get my contacts from. The chat option works wonders and the staff super friendly. Tommy the customer service helped me to get an additional discount for another set of contacts I needed. I didn't have to ask him and to me that's going above and beyond. Thank you OptiContacts and Tommy!Date of experience: November 27, 2024",5
Derek Rizzo,US,"Nov 15, 2024","The shipping company they are partnered…The shipping company they are partnered with is terrible, I ordered my contacts over 2 weeks ago. There was no update on the tracking and I had to email the shipping company to figure out where my contacts were. They said the delivery “failed” so they were too lazy to find my house in a new neighborhood.Date of experience: November 15, 2024",1
Gennifer,US,"Dec 7, 2024","First Time Ordering Contacts Went GreatThis was my first time ordering contacts online. I gave them a call and they provided great customer service. Shout out to Francis 18642370 for helping me with my order. He was efficient, and I was left feeling satisfied and grateful for the products I received and the price I paid for them, so I plan on ordering from Opti Contacts again.Date of experience: December 02, 2024",5
Christopher Carlo Celi,US,"Nov 20, 2024","Friendly Customer Service I wish the company were more transparent about the fact that the error message one gets when trying to receive the promotional price is due to the fact that it can only be used one time per household. I also don't know why more than one box ordered at a time significantly increases your total to more than double the price for a single box. Having said that, Emma at customer service was very helpful and sweet and I'm glad that I made her laugh today. She deserves a raise :)Date of experience: November 18, 2024",5
Darline ,US,"Dec 12, 2024","I had a great hassle free order change…I had a great hassle free order change with Tommy(18646976). Call took less than 5 minutes and he fixed my order to reflect the changes I needed. Best customer service hands down and best prices as well! This was second order with them and definitely not be my last! Thank you for making the process for buying contacts so easy!Date of experience: December 11, 2024",5
