Username,location,date,content,Rating
A Paul,NL,"Dec 18, 2024","Excellent productI bought the Diamond Collagen Hermetise Serum and I really like the branding. The product is excellent and I saw changes in my skin within 3 days. I have really sensitive skin and I did not experience any issues.Just a small issue with the bottle cap, it keeps falling off and doesn't actually lock. Really nothing but if I'm traveling with it I fear there might be accidental spillage.Date of experience: December 12, 2024",5
Jeulia,US,"Dec 20, 2024","Entire process of HermetiseThe entire process of trying, buying, and using has been positive. Customer service was responsive and very helpful in timely manner. Date of experience: December 19, 2024",5
Juliana Buttner,US,"Dec 2, 2024","Disgusting attitude and sales tacticsThe sales people are extremely aggressive. One lady told me my shoe was untied while I had my hands full of bags. I went toward the wall to check and she grabbed my wrist and pulled me in (it was not untied). She kept bringing the price down on their “top sellers” from $500 to $68 it was clear it was a scam. I told her I’d come back and took a picture of the products. She got upset with me and asked me to delete them. I didn’t luckily because I was able to remember the products and name of business. When she realized I wasn’t going to buy anything she turned from being nice to rude and hurtful. She snatched the products away from me and turned towards the door to schmooze another unlucky soul. Later I broke out in a rash from the cheap scammy free sample she forced onto my arm.Date of experience: November 30, 2024",1
Linda Shute,US,"Nov 26, 2024","Allergic reactionI purchased the Hermetise Professional Diamond Collagen Peeling Mask. After following exact application directions I developed an allergic reaction. I was told that was impossible because the product was tested and it was allergic free. I even sent pictures of how my face looked after the use. I requested a refund but was told the refund policy was 7-14 days. Why would they have a refund policy if there were no reason for one and why would the instructions given take a month and not be winthin th 7-14 days before a reaction would occur? I would advise anyone considering purchasing products from this company to re-consider and not do so. I am sorry  I purchased this product and have lost the money I paid for it. DO NOT BELIEVE IT IS ALLERGY FREE!Date of experience: November 03, 2024",1
Rose Glenn,US,"Dec 4, 2024","Eye creamI was introduced to this product at the Potomac Mills mall. It was right on the spot.So I agreed to try it and instantly my skin was so rejuvenated. I purchased the eye cream and the anti aging pump. Date of experience: November 03, 2024",5
Alishia Miles,US,"Nov 23, 2024","I didn’t even want to go to the stand…I didn’t even want to go to the stand in Hanes mall but the staff legit grabbed my wrist and put some kind of pouch in my hand while pulling me towards the stand. He then proceeds to rub all kinds of unknown cream under my eyes and wrist without my consent, seeing the fact I kept saying no no no!! But the fact that he legit takes my card and taps it soooo fast I couldn’t get it back while taking over $300 out of my bank really set me off!! I’m going press charges!! That’s robbery cause I kept saying NO!! And then when I tell him to give my money back he stays no refunds!? I didn’t even buy nothing!!! He proceeded to give me a bag with some products in it!! I’ve contacted the mall to get the footage of all of this, because this is sooooo wrong!!! Date of experience: November 22, 2024",1
Alberta Blake,US,"Nov 14, 2024","Can't trust everyoneI purchased this product in Costa Maya while on a Cruise. I still have not received the wand or applicator to apply the creams with. Gabriel Fhima will not answer my emails as to when it will be shipped. It was very expensive and I will cancel my payment if not resolved. Not sure if someone here can help.Date of experience: October 31, 2024",2
Roseanne S,CA,"Nov 12, 2024","I purchased the eye treatment at the…I purchased the eye treatment at the National Women's show in Toronto, Ontario. The sales rep was very friendly and helpful. He gave a very detailed explanation along with a demo of how the product works. I love how the eye serum makes my eyes look younger by taking away the crows feet and the dark circles.  Date of experience: November 08, 2024",5
Liana Garcia,US,"Nov 21, 2024","The Professional Diamond Collagen…The Professional Diamond Collagen Moisturizer is the BEST cream you can have!  You will get a lot of compliments and you will see the difference on your skin. I love this product!Date of experience: November 21, 2024",5
Evelyn Skoff,US,"Dec 6, 2024","I love how the product make my face…I love how the product make my face fill smooth, i notice my lines and becoming softer. Date of experience: October 28, 2024",5
