Username,location,date,content,Rating
OZ,CA,"Sep 8, 2024","I placed my order four weeks ago and…I placed my order four weeks ago and tell now I never received my package. Every time I call their customer service they say, I must wait I’ve been waiting for a month so far and still nothing.Date of experience: September 08, 2024",1
"JR, Six Time Champion Boxer",US,"Mar 16, 2023Verified","KOCKED THE F&C! OUT REVIEWI’m a 6X Champion Boxer that trains almost and literally every day (1 day off) I run in the mornings 4-8 miles a day. In the afternoons and evenings and nights, I train an additional 2.5 to 3 hours a day. KNOCK THE F&C@ OUT helps me sleep and it assists in recovery for my body after intense and long workouts. It’s an awesome and very helpful supplement. The recovery effect from this supplement allows me to come back to my workouts with optimal strength, speed, endurance, and stamina.Date of experience: March 15, 2023",5
Eddie Thompson,US,"Dec 14, 2022Verified","GREATLY RELIABLE SERVICE AND KNOWLEDGEABLE MARKETINGI have always experienced great service. The delivery is prompt and they are readily available to answer your questions. The only issue is the free gifts for large orders. The service needs to inquire about your gender before sending a PINK shaker to a guy. So I have a shaker that I will not be taking to the gym. Besides that, if I opted to recieve newsletters and emails, I should get the discount each time I  order.Date of experience: December 12, 2022",5
Brice,US,"Feb 9, 2023Verified","Supplements 100% workSupplements 100% work. I've never seen so many gains in such a short amount of time in my life. 1-testosterone plus winstrol works wonders for cutting and building muscle/holding onto lean muscle mass. Definitely gonna use this cycle again after my pct!Date of experience: January 01, 2023",5
Elizabeth Cary,US,"Feb 7, 2023Verified","First Time CustomerIt was My Supplement Store to the rescue.  I was out of my Life Extension Bone Strength Collagen Formula w/KoAct, which I have been taking for years.  They had an ample supply and were great with notifications when the items shipped and when they were delivered.  I was very satisfied with the whole experience and will use them again in the future.Date of experience: January 27, 2023",5
Erica Ramirez,US,"Feb 12, 2023Verified","As a customer you will always be…As a customer you will always be skeptical of purchasing things online. The first time I purchased enduralean from here, the flavor I wanted was not in stock and they reached out to me asking me if I wanted a different flavor. The next time, I had a question and they were fast to respond back not like other places. So that's Amazing customer service.Date of experience: January 27, 2023",5
Chris Tice,US,"Feb 22, 2023Verified","My go to place for pro-hormones and more!I needed some good pro-hormones to supplement my workout routine and found everything I needed, and more, at My Supplement Store! They always have great prices and my stuff always arrives on time. Plus, for a few bucks, you can buy insurance for your stuff in case it never shows up or is lost. Hasn’t happened yet for me but a definitely a no-brainer and I love having that option!!  I won’t shop anywhere else. Great job guys, you rock!Date of experience: February 15, 2023",5
Jessica Whisnant,US,"Apr 15, 2023Verified","I absolutely love this supplement and…I absolutely love this supplement and the boost of energy/intensify to my workouts it gives! Using this product I am able to complete double the amount of reps in the same time as I was before using! I have recommended to so many others who now use this an love it just as much!Date of experience: March 31, 2023",5
Clayton Parkhurst,US,"Dec 27, 2022Verified","What I ordered was not available so you…What I ordered was not available so you guys upgraded me at no additional charge!I decided to try Deca durabolin I'm sure it's a great supplement. Unfortunately it gave me a massive break out of hives. Less than 2 hours after first dose.  So I have 2.bottles minus I tablet that I cannot use.  No harm no foul. Not a negative review about you or your supps they totally work. You guys are awesome as well.Date of experience: December 21, 2022",5
Heriberto Alvarez,US,"Dec 22, 2022Verified","I received a container on Killer Labz…I received a container on Killer Labz Noxious pre-workout that was clumpy, pasty & in chunks. Didn't look good or new. Looked like it was exposed to hear or past expiration. Couldn't tell because container did not have an expiration printed on the label which was odd & not common. Was skeptical to use for consumption due to the nature of the product. Not a pleasant experience for a first-time shopper. Need Help in rectifying this issue ASAP!Date of experience: December 12, 2022",3
Travis D.,US,"Jan 7, 2023Verified","I buy my supps hereClean modern looking website. The ordering was straight forward.  Price is fair. Communication is stellar.  The products are exactly what I wanted.   It's apparent that mysupplementstore.com is run by passionate and very intelligent people.  Great job!Date of experience: January 03, 2023",5
Byron Payne,US,"Feb 13, 2023Verified","If I could give more stars I wouldIf I could give more stars I would! This company hands down has the absolute best customer service staff I've ever encountered. And that goes across every online merchandise company organization.Date of experience: February 06, 2023",5
Juan,PR,"Apr 13, 2023Verified","I guess this is the place to be, congrats.The tracking system has been upgraded in a big way !Products are class A in order to say the best on the market. Phone communication if needed is always there cause I have used it. Good company, good products and service, what else you expect as customer ? I guess this is the place to be, congrats.Date of experience: March 30, 2023",5
Sheila,US,"Mar 17, 2023Verified","My Supplement Store - 100% satisfaction guarantee!My supplement Store was very caring when I called a number of times regarding my order. I had received the wrong vitamins and had the package sent back through USPS so I could receive the correct vitamins. USPS is investigating where the package is currently. My Supplement store has resolved my issue and I am very happy with this Company and I will continue ordering my vitamins through them!Date of experience: March 17, 2023",5
Tiffany Moore,US,"Jan 12, 2023Verified","Shipping was way faster then I…Shipping was way faster then I expected! Saw a few reviews where people said theirs was slow or they hadn’t got their order yet so I was a bit worried but my order came very fast.  Lipodrene is good, bordering on too strong! Taking it with food would probably help.  I work midnight to noon and needed something to help me stay awake …this did the trick! I would absolutely order from this company again.Date of experience: January 11, 2023",5
